Opposing Teams	Against	Date	Venue	Status
Scotland	13	01/02/1997	Twickenham , London	Five Nations
Ireland	6	15/02/1997	Lansdowne Road , Dublin	Five Nations
France	23	01/03/1997	Twickenham , London	Five Nations
Wales	13	15/03/1997	Cardiff Arms Park , Cardiff	Five Nations
Argentina	20	31/05/1997	Ferrocarril Stadium , Buenos Aires	First Test
Argentina	33	07/06/1997	Ferrocarril Stadium , Buenos Aires	Second Test
Australia	25	12/07/1997	Sydney Football Stadium , Sydney	Test Match
Australia	15	15/11/1997	Twickenham , London	Test Match
New Zealand	25	22/11/1997	Old Trafford , Manchester	First Test
South Africa	29	29/11/1997	Twickenham , London	Test Match
New Zealand	26	06/12/1997	Twickenham , London	Second Test
