Rider	Manufacturer	Laps	Time/Retired	Grid
Valentino Rossi	Honda	24	49:09.516	2
Max Biaggi	Yamaha	24	+1.674	1
Kenny Roberts, Jr.	Suzuki	24	+18.764	16
Alex Barros	Honda	24	+24.759	15
Loris Capirossi	Honda	24	+32.354	12
Norifumi Abe	Yamaha	24	+34.360	11
Olivier Jacque	Yamaha	24	+44.250	7
Sete Gibernau	Suzuki	24	+57.150	18
Jurgen vd Goorbergh	Honda	24	+1:09.987	8
Garry McCoy	Yamaha	24	+1:17.611	4
José Luis Cardoso	Yamaha	24	+1:20.837	20
Nobuatsu Aoki	Proton KR	24	+1:50.774	10
Tetsuya Harada	Honda	23	+1 lap	19
John Hopkins	Yamaha	23	+1 lap	14
Régis Laconi	Aprilia	22	Accident	17
Carlos Checa	Yamaha	16	Accident	5
Jeremy McWilliams	Proton KR	4	Accident	3
Shinya Nakano	Yamaha	3	Accident	13
Tohru Ukawa	Honda	1	Accident	9
Daijiro Kato	Honda	0	Accident	6
