Pos.	Mark	Athlete	Venue	Date
1.	2.08m(6ft9¾in)	Kajsa Bergqvist ( SWE )	Arnstadt	6 February 2006
2.	2.07m(6ft9¼in)	Heike Henkel ( GER )	Karlsruhe	8 February 1992
3.	2.06m(6ft9in)	Stefka Kostadinova ( BUL )	Athens	20 February 1988
3.	2.06m(6ft9in)	Blanka Vlašić ( CRO )	Arnstadt	6 February 2010
3.	2.06m(6ft9in)	Anna Chicherova ( RUS )	Arnstadt	4 February 2012
6.	2.05m(6ft8½in)	Tia Hellebaut ( BEL )	Birmingham	3 March 2007
6.	2.05m(6ft8½in)	Ariane Friedrich ( GER )	Karlsruhe	15 February 2009
8.	2.04m(6ft8¼in)	Alina Astafei ( GER )	Berlin	3 March 1995
8.	2.04m(6ft8¼in)	Yelena Slesarenko ( RUS )	Budapest	7 March 2004
8.	2.04m(6ft8¼in)	Antonietta Di Martino ( ITA )	Banská Bystrica	9 February 2011
