Date	Label	Format	Country	Catalog
January 15, 1968	Columbia	LP	US	CL 2775
January 15, 1968	Columbia	LP	US	CS 9575
April 12, 1968	CBS	LP	UK	63169
April 12, 1968	CBS	LP	UK	S 63169
1973	Embassy	LP	UK	EMB 31202
1976	CBS	LP	UK	S 22040
1987	Edsel	LP	UK	ED 262
1987	Edsel	CD	UK	EDCD 262
1990	Columbia	CD	US	CK 9575
March 25, 1997	Columbia/Legacy	CD	US	CK 65151
March 25, 1997	Columbia/Legacy	CD	UK	COL 4867512
1999	Simply Vinyl	LP	UK	SVLP 0006
2003	Sony	CD	Japan	MHCP-70
2006	Sundazed	LP	US	LP 5201
2006	Columbia/ Mobile Fidelity Sound Lab	SACD (Hybrid)	US	UDSACD 2015
