Election	Dáil	Share of votes	Seats	Total seats
1937	9th	34.8%	48	138
1938	10th	33.3%	45	138
1943	11th	23.1%	32	138
1944	12th	21.8%	30	138
1948	13th	19.8%	31	147
1951	14th	25.7%	40	147
1954	15th	32.0%	50	147
1957	16th	26.6%	40	147
1961	17th	32.0%	47	144
1965	18th	33.9%	47	144
1969	19th	33.3%	50	144
1973	20th	35.1%	54	144
1977	21st	30.6%	43	148
1981	22nd	39.2%	65	166
1982 (Feb)	23rd	37.3%	63	166
1982 (Nov)	24th	39.2%	70	166
1987	25th	27.1%	50	166
1989	26th	29.3%	55	166
1992	27th	24.5%	45	166
1997	28th	27.9%	54	166
2002	29th	22.5%	31	166
2007	30th	27.3%	51	166
2011	31st	36.1%	76	166
