Team	Constructor	Chassis	Engine †	Tyre	Driver	Rounds
Scuderia Ferrari Marlboro	Ferrari	F2001	Ferrari 050	B	Michael Schumacher	All
Scuderia Ferrari Marlboro	Ferrari	F2001	Ferrari 050	B	Rubens Barrichello	All
West McLaren Mercedes	McLaren - Mercedes	MP4-16	Mercedes FO110K	B	Mika Häkkinen	All
West McLaren Mercedes	McLaren - Mercedes	MP4-16	Mercedes FO110K	B	David Coulthard	All
BMW WilliamsF1 Team	Williams - BMW	FW23	BMW P80	M	Ralf Schumacher	All
BMW WilliamsF1 Team	Williams - BMW	FW23	BMW P80	M	Juan Pablo Montoya	All
Mild Seven Benetton Renault	Benetton - Renault	B201	Renault RS21	M	Giancarlo Fisichella	All
Mild Seven Benetton Renault	Benetton - Renault	B201	Renault RS21	M	Jenson Button	All
Lucky Strike BAR Honda	BAR - Honda	003	Honda RA001E	B	Olivier Panis	All
Lucky Strike BAR Honda	BAR - Honda	003	Honda RA001E	B	Jacques Villeneuve	All
B&H Jordan Honda	Jordan - Honda	EJ11	Honda RA001E	B	Heinz-Harald Frentzen	1-7, 9-11
B&H Jordan Honda	Jordan - Honda	EJ11	Honda RA001E	B	Ricardo Zonta	8, 12
B&H Jordan Honda	Jordan - Honda	EJ11	Honda RA001E	B	Jarno Trulli	13-17
B&H Jordan Honda	Jordan - Honda	EJ11	Honda RA001E	B	Jarno Trulli	1-12
B&H Jordan Honda	Jordan - Honda	EJ11	Honda RA001E	B	Jean Alesi	13-17
Orange Arrows Asiatech	Arrows - Asiatech	A22	Asiatech 001	B	Jos Verstappen	All
Orange Arrows Asiatech	Arrows - Asiatech	A22	Asiatech 001	B	Enrique Bernoldi	All
Red Bull Sauber Petronas	Sauber - Petronas	C20	Petronas 01A	B	Nick Heidfeld	All
Red Bull Sauber Petronas	Sauber - Petronas	C20	Petronas 01A	B	Kimi Räikkönen	All
Jaguar Racing	Jaguar - Cosworth	R2	Cosworth CR-3	M	Eddie Irvine	All
Jaguar Racing	Jaguar - Cosworth	R2	Cosworth CR-3	M	Luciano Burti	1-4
Jaguar Racing	Jaguar - Cosworth	R2	Cosworth CR-3	M	Pedro de la Rosa	5-17
European Minardi F1	Minardi - European	PS01 PS01B	European	M	Tarso Marques	1-14
European Minardi F1	Minardi - European	PS01 PS01B	European	M	Alex Yoong	15-17
European Minardi F1	Minardi - European	PS01 PS01B	European	M	Fernando Alonso	All
Prost Acer	Prost - Acer	AP04	Acer 01A	M	Jean Alesi	1-12
Prost Acer	Prost - Acer	AP04	Acer 01A	M	Heinz-Harald Frentzen	13-17
Prost Acer	Prost - Acer	AP04	Acer 01A	M	Gastón Mazzacane	1-4
Prost Acer	Prost - Acer	AP04	Acer 01A	M	Luciano Burti	5-14
Prost Acer	Prost - Acer	AP04	Acer 01A	M	Tomáš Enge	15-17
