Year	Country/Territory	Miss International	National title	Location
2013	TBA	TBA	TBA	Tokyo , Japan
2012	Japan	Ikumi Yoshimatsu	Miss Japan	Okinawa , Japan
2011	Ecuador	Fernanda Cornejo	Miss Ecuador	Chengdu , China
2010	Venezuela	Elizabeth Mosquera	Miss Venezuela	Chengdu , China
2009	Mexico	Anagabriela Espinoza	Nuestra Belleza México	Chengdu , China
2008	Spain	Alejandra Andreu	Miss Spain	Macau , China
2007	Mexico	Priscila Perales	Nuestra Belleza México	Tokyo , Japan
2006	Venezuela	Daniela di Giacomo	Miss Venezuela	Beijing , China
2005	Philippines	Lara Quigaman	Binibining Pilipinas	Tokyo , Japan
2004	Colombia	Jeymmy Vargas	Miss Colombia	Beijing , China
2003	Venezuela	Goizeder Azúa	Miss Venezuela	Tokyo , Japan
2002	Lebanon	Christina Sawaya	Miss Lebanon	Tokyo , Japan
2001	Poland	Małgorzata Rożniecka	Miss Polonia	Tokyo , Japan
2000	Venezuela	Vivian Urdaneta	Miss Venezuela	Tokyo , Japan
