Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	CD Castellón	38	45+7	15	15	8	45	33	+12
2	Cádiz CF	38	45+7	19	7	12	55	37	+18
3	Racing de Santander	38	45+7	18	9	11	48	40	+8
4	Elche CF	38	45+7	17	11	10	55	44	+11
5	Rayo Vallecano	38	45+7	15	15	8	37	23	+14
6	CD Málaga	38	42+4	14	14	10	47	45	+2
7	CE Sabadell FC	38	42+4	16	10	12	45	44	+1
8	Deportivo Alavés	38	39+1	15	9	14	49	35	+14
9	Levante UD	38	38	15	8	15	36	37	-1
10	Real Oviedo	38	37-1	11	15	12	37	39	-2
11	Castilla CF	38	36-2	14	8	16	50	44	+6
12	Linares	38	36-2	13	10	15	36	42	-6
13	Getafe Deportivo	38	35-3	10	15	13	41	50	-9
14	Atlético Madrileño	38	35-3	13	9	16	44	55	-11
15	Burgos	38	35-3	13	9	16	47	52	-5
16	Recreativo de Huelva	38	35-3	12	11	15	33	37	-4
17	Granada CF	38	33-5	10	13	15	33	45	-12
18	Palencia CF	38	32-6	12	8	18	30	37	-7
19	Barakaldo CF	38	31-7	11	9	18	34	46	-12
20	AgD Ceuta	38	29-9	11	7	20	33	50	-17
