County	Obama%	Obama#	McCain%	McCain#	Others%	Others#
Alachua	60.0%	75565	38.5%	48513	1.5%	1889
Baker	21.0%	2327	78.2%	8672	0.8%	88
Bay	29.1%	23653	69.7%	56683	1.3%	1030
Bradford	29.3%	3430	69.5%	8136	1.2%	137
Brevard	44.2%	127260	54.5%	157589	1.3%	3718
Broward	67.0%	492640	32.3%	237729	0.6%	4722
Calhoun	29.1%	1821	69.4%	4345	1.6%	98
Charlotte	45.7%	39031	52.9%	45205	1.5%	1263
Citrus	41.1%	31460	57.1%	43706	1.8%	1343
Clay	28.2%	26697	70.9%	67203	0.9%	823
Collier	38.3%	54450	60.8%	86379	0.8%	1159
Columbia	32.5%	9171	66.2%	18670	1.3%	374
DeSoto	43.1%	4383	55.4%	5632	1.5%	149
Dixie	26.4%	1925	71.2%	5194	2.4%	174
Duval	48.6%	202618	50.5%	210537	0.8%	3538
Escambia	39.8%	61572	59.0%	91411	1.2%	1891
Flagler	50.2%	24726	48.7%	23951	1.1%	540
Franklin	35.3%	2134	63.1%	3818	1.6%	97
Gadsden	69.1%	15582	30.2%	6811	0.6%	145
Gilchrist	25.5%	1996	72.3%	5656	2.1	167
Glades	41.1%	1381	57.7%	1938	1.2%	39
Gulf	29.8%	2149	69.0%	4980	1.2%	89
Hamilton	42.3%	2364	56.9%	3179	0.8%	44
Hardee	34.5%	2568	64.0%	4763	1.5%	111
Hendry	45.8%	4998	52.9%	5780	1.3%	139
Hernando	47.6%	41886	51.1%	45021	1.3%	1179
Highlands	40.4%	18135	58.4%	26221	1.3%	566
Hillsborough	53.1%	272963	45.9%	236355	1.0%	5177
Holmes	16.8%	1446	81.6%	7033	1.6%	137
Indian River	42.0%	29710	56.7%	40176	1.3%	916
Jackson	35.5%	7671	63.5%	13717	1.0%	225
Jefferson	51.2%	4088	47.6%	3797	1.2%	93
Lafayette	19.0%	642	79.3%	2679	1.7%	56
Lake	42.8%	62948	56.4%	82802	0.8%	1176
Lee	44.3%	119701	54.7%	147608	1.0%	2688
Leon	61.6%	91747	37.4%	55705	1.0%	1483
Levy	35.7%	6711	62.6%	11754	1.7%	324
Liberty	27.2%	895	71.2%	2339	1.6%	52
Madison	47.9%	4270	51.0%	4544	1.0%	93
Manatee	45.9%	70034	52.9%	80721	1.1%	1712
Marion	43.6%	70839	55.1%	89628	1.3%	2075
Martin	42.7%	33508	56.2%	44143	1.1%	871
Miami-Dade	57.8%	499831	41.7%	360551	0.5%	4254
Monroe	51.7%	20907	46.9%	18933	1.4%	562
Nassau	27.7%	10618	71.4%	27403	1.0%	371
Okaloosa	27.0%	25872	71.8%	68789	1.2%	1120
Okeechobee	39.8%	5108	58.9%	7561	1.3%	170
Orange	59.0%	273009	40.4%	186832	0.6%	2870
Osceola	59.4%	59962	39.7%	40086	0.9%	877
Palm Beach	61.1%	361271	38.2%	226037	0.7%	4128
Pasco	47.5%	102417	51.1%	110104	1.4%	3068
Pinellas	53.4%	248299	45.2%	210066	1.5%	6787
Polk	46.3%	113865	52.5%	128878	1.2%	2961
Putnam	39.8%	13236	59.0%	19637	1.2%	406
Saint Johns	33.7%	35791	65.3%	69222	1.0%	1067
Saint Lucie	55.5%	67125	43.4%	52512	1.1%	1334
Santa Rosa	25.5%	19470	73.3%	55972	1.2%	935
Sarasota	49.4%	102686	49.5%	102897	1.2%	2426
Seminole	48.1%	99335	50.9%	105070	1.0%	2021
Sumter	36.0%	17655	63.0%	30866	0.9%	462
Suwanee	27.8%	4916	71.0%	12534	1.2%	212
Taylor	29.9%	2803	68.8%	6457	1.4%	127
Union	24.6%	1300	74.4%	3940	1.0%	53
Volusia	52.2%	127795	46.5%	113938	1.3%	3122
Wakulla	36.9%	5311	61.7%	8877	1.3%	188
Walton	26.4%	7174	72.1%	19561	1.5%	404
