Season	Level	Division	Administration	Position
1994	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	5th
1995	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	2nd
1996	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Palloliitto)	6th
1997	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Palloliitto)	3rd
1998	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Palloliitto)	8th
1999	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	4th
2000	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	4th
2001	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	8th
2002	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	3rd
2003	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	4th
2004	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	1st
2005	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	7th
2006	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	1st
2007	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Palloliitto)	3rd
2008	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Palloliitto)	1st
2009	Tier 1	Veikkausliiga (Premier League)	Finnish FA (Suomen Palloliitto)	13th
2010	Tier 1	Veikkausliiga (Premier League)	Finnish FA (Suomen Palloliitto)	13th
2011	Tier 1	Veikkausliiga (Premier League)	Finnish FA (Suomen Palloliitto)	3rd
2012	Tier 1	Veikkausliiga (Premier League)	Finnish FA (Suomen Palloliitto)	9th
2013	Tier 1	Veikkausliiga (Premier League)	Finnish FA (Suomen Palloliitto)	12th
