Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	N/H/L Racing	96	1:45:41.953	2	33
Justin Wilson	RSPORTS	96	+3.9 secs	3	27
Graham Rahal	N/H/L Racing	96	+6.6 secs	4	25
Simon Pagenaud (R)	Team Australia	96	+24.8 secs	7	23
Paul Tracy	Forsythe Racing	96	+28.1 secs	14	22
Oriol Servia	Forsythe Racing	96	+30.0 secs	13	19
Bruno Junqueira	Dale Coyne Racing	96	+30.7 secs	6	17
Dan Clarke	Minardi Team USA	96	+35.3 secs	10	15
Neel Jani (R)	PKV Racing	96	+37.8 secs	5	13
Jan Heylen	Conquest Racing	96	+58.7 secs	12	11
Robert Doornbos (R)	Minardi Team USA	95	+ 1 Lap	11	10
Ryan Dalziel	Pacific Coast Motorsports	95	+ 1 Lap	8	9
Alex Figge (R)	Pacific Coast Motorsports	95	+ 1 Lap	16	8
Alex Tagliani	RSPORTS	69	Contact	9	7
Will Power	Team Australia	69	Mechanical	1	7
Katherine Legge	Dale Coyne Racing	36	Mechanical	15	5
Mario Dominguez	PKV Racing	32	Mechanical	17	4
