Seed	Rank	Player	Points	Points defending	Points won	New points	Status
1	2	Roger Federer	8525	2000	360	6885	Quarterfinals lost to Tomáš Berdych (12)
2	1	Rafael Nadal	8745	0	2000	10745	Champion, won in the final against Tomáš Berdych
3	3	Novak Djoković	6545	360	720	6905	Semifinals lost to Tomáš Berdych (12)
4	4	Andy Murray	5155	720	720	5155	Semifinals lost to Rafael Nadal (2)
5	7	Andy Roddick	4510	1200	180	3490	4th round lost to Lu Yen-hsun
6	6	Robin Söderling	4755	180	360	4935	Quarterfinals lost to Rafael Nadal (2)
7	5	Nikolay Davydenko	4785	90	45	4740	2nd round lost to Daniel Brands
8	9	Fernando Verdasco	3645	180	10	3475	1st round lost to Fabio Fognini
9	11	David Ferrer	3010	90	180	3100	4th round lost to Robin Söderling (6)
10	10	Jo-Wilfried Tsonga	3185	90	360	3455	Quarterfinals lost to Andy Murray (4)
11	12	Marin Čilić	2945	90	10	2865	1st round lost to Florian Mayer
12	13	Tomáš Berdych	2825	180	1200	3845	Runner-Up, lost in the final against Rafael Nadal
13	14	Mikhail Youzhny	2665	10	45	2700	2nd round lost to Paul-Henri Mathieu
14	17	Juan Carlos Ferrero	2095	360	10	1745	1st round lost to Xavier Malisse
15	26	Lleyton Hewitt	1565	360	180	1385	4th round lost to Novak Djokovic (3)
16	16	Jürgen Melzer	2125	90	180	2215	4th round lost to Roger Federer (1)
17	15	Ivan Ljubičić	2190	0	10	2200	1st round lost to Michał Przysiężny
18	21	Sam Querrey	1755	45	180	1890	4th round lost to Andy Murray (4)
19	18	Nicolás Almagro	1960	90	10	1890	1st round lost to Andreas Seppi
20	23	Stanislas Wawrinka	1690	180	10	1520	1st round lost to Denis Istomin
21	20	Gaël Monfils	1905	0	90	1995	3rd round lost to Lleyton Hewitt (15)
22	30	Feliciano López	1455	10	90	1535	3rd round lost to Jürgen Melzer (16)
23	19	John Isner	1925	0(45)	45	1925	2nd round lost to Thiemo de Bakker
24	27	Marcos Baghdatis	1545	0	10	1555	1st round lost to Lukáš Lacko
25	24	Thomaz Bellucci	1652	0(20)	90	1722	3rd round lost to Robin Söderling (6)
26	32	Gilles Simon	1305	180	90	1215	3rd round lost to Andy Murray (4)
28	31	Albert Montañés	1405	90	90	1405	3rd round lost to Novak Djokovic (3)
29	35	Philipp Kohlschreiber	1230	90	90	1230	3rd round lost to Andy Roddick (5)
30	36	Tommy Robredo	1155	90	10	1075	1st round lost to Peter Luczak
31	37	Victor Hănescu	1070	45	90	1115	3rd round lost to Daniel Brands
32	38	Julien Benneteau	1059	10	180	1229	4th round lost to Jo-Wilfried Tsonga (10)
