Week	Date	Opponent	Result	Attendance
1	September 11, 1966	at Atlanta Falcons	W 19-14	54,418
2	September 16, 1966	Chicago Bears	W 31-17	58,916
3	September 25, 1966	at Green Bay Packers	L 24-13	50,861
4	September 30, 1966	San Francisco 49ers	W 34-3	45,642
5	October 9, 1966	at Detroit Lions	W 14-7	52,793
6	October 16, 1966	at Minnesota Vikings	L 35-7	47,426
7	October 23, 1966	at Chicago Bears	L 17-10	47,475
8	October 30, 1966	Baltimore Colts	L 17-3	57,898
9	November 6, 1966	at San Francisco 49ers	L 21-13	35,372
10	November 13, 1966	New York Giants	W 55-14	34,746
11	November 20, 1966	Minnesota Vikings	W 21-6	38,775
12	November 27, 1966	at Baltimore Colts	W 23-7	60,238
13	December 4, 1966	Detroit Lions	W 23-3	40,039
14	Bye	Bye	Bye	Bye
15	December 18, 1966	Green Bay Packers	L 27-23	72,416
