Type	Person(s)	Publisher(s)	Publication date	Reported price
Baby photos	Knox Leon & Vivienne Marcheline Jolie-Pitt	People & Hello!	August 2008	$15,000,000
Baby photos	Maximilian David & Emme Maribel Muñiz	People	March 2008	$6,000,000
Baby photos	Shiloh Nouvel Jolie-Pitt	People	June 2006	$4,100,000
Wedding photos	Demi Moore & Ashton Kutcher	OK!	October 2005	$3,000,000
Baby photos	Levi Alves McConaughey	OK!	August 2008	$3,000,000
Post-adoption photos	Pax Thien Jolie-Pitt	People	March 2007	$2,000,000
Post- paternity case photos	Larry & Dannielynn Birkhead	OK!	April 2007	$2,000,000
Wedding photos	Eva Longoria & Tony Parker	OK!	July 2007	$2,000,000
Baby photos	Max Liron Bratman	People	February 2008	$1,500,000
Baby photos	Honor Marie Warren	OK!	July 2008	$1,500,000
Wedding photos	Anna Nicole Smith & Howard K. Stern	People	September 2006	$1,000,000
Baby photos	Maddie Briann Aldridge	OK!	July 2008	$1,000,000
Baby photos	Harlow Winter Madden	People	February 2008	$1,000,000
Baby photos	Kingston James McGregor Rossdale	OK!	June 2006	$575,000
Couple photos	Angelina Jolie & Brad Pitt	Us Weekly	April 2005	$500,000
Baby photos	Sean Preston Federline	People	November 2005	$500,000
Visibly pregnant photos	Angelina Jolie	People	January 2006	$500,000
Last photo	Daniel Smith	In Touch	September 2006	$400,000
