Date	Opponent	Venue	Result	Attendance
19 August 2000	Coventry City	A	3–1	20,624
22 August 2000	Tottenham Hotspur	H	1–1	31,254
26 August 2000	Leeds United	H	1–2	31,626
6 September 2000	Derby County	A	3–3	24,290
9 September 2000	Everton	H	1–2	30,885
17 September 2000	Manchester City	A	1–1	32,053
23 September 2000	Aston Villa	H	1–1	27,556
30 September 2000	Southampton	A	3–1	14,903
16 October 2000	Newcastle United	H	1–3	31,436
21 October 2000	Charlton Athletic	A	0–1	20,043
28 October 2000	Ipswich Town	A	1–2	21,771
4 November 2000	Arsenal	H	0–1	29,541
11 November 2000	Manchester United	A	1–2	67,576
18 November 2000	Leicester City	H	0–3	27,965
25 November 2000	Bradford City	H	2–2	15,232
2 December 2000	West Ham United	A	0–1	25,459
9 December 2000	Sunderland	A	0–1	47,742
16 December 2000	Chelsea	H	1–0	29,422
23 December 2000	Tottenham Hotspur	A	0–0	35,638
26 December 2000	Liverpool	H	1–0	34,696
30 December 2000	Coventry City	H	1–1	30,499
1 January 2001	Leeds United	A	1–1	39,251
13 January 2001	Derby County	H	4–0	29,041
20 January 2001	Liverpool	A	0–0	43,042
31 January 2001	Everton	A	2–2	34,244
3 February 2001	Manchester City	H	1–1	31,794
10 February 2001	Aston Villa	A	1–1	28,912
24 February 2001	Southampton	H	0–1	28,725
3 March 2001	Charlton Athletic	H	0–0	28,177
17 March 2001	Newcastle United	A	2–1	51,751
31 March 2001	Chelsea	A	1–2	34,933
9 April 2001	Sunderland	H	0–0	31,284
14 April 2001	Arsenal	A	3–0	37,879
16 April 2001	Ipswich Town	H	1–2	34,294
21 April 2001	Leicester City	A	3–0	18,162
28 April 2001	Manchester United	H	0–2	34,417
5 May 2001	Bradford City	A	1–1	20,921
19 May 2001	West Ham United	H	2–1	33,057
