Place	Player	Country	Score	To par	Money ( $ )
1	Tom Watson	United States	71-68-70-71=280	–8	60,000
T2	Johnny Miller	United States	69-72-73-68=282	–6	30,500
T2	Jack Nicklaus	United States	70-65-75-72=282	–6	30,500
4	Greg Norman	Australia	69-70-72-72=283	–5	16,000
T5	Tom Kite	United States	74-72-70-68=284	–4	12,667
T5	Jerry Pate	United States	71-72-71-70=284	–4	12,667
7	David Graham	Australia	70-70-74-71=285	–3	11,167
T8	Ben Crenshaw	United States	71-72-70-73=286	–2	9,667
T8	Raymond Floyd	United States	75-71-71-69=286	–2	9,667
T8	John Mahaffey	United States	72-71-69-74=286	–2	9,667
