Date	Opponent	Home/Away	Field	Result
May 19	Cannons	Away	Harvard Stadium	W 13-9
June 2	Rattlers	Home	United Sports Training Center	W 21-17
June 9	Cannons	Home	United Sports Training Center	W 16-13
June 16	Lizards	Away	Mitchel Athletic Complex	L 11-16
June 23	Rattlers	Away	PAETEC Park	L 11-16
June 30	Lizards	Home	United Sports Training Center	W 14-13 OT
July 6	Dragons	Home	United Sports Training Center	W 14-9
July 12	Pride	Away	Yurcak Field	W 12-7
July 21	Outlaws	Away	INVESCO Field	L 13-15
July 26	Pride	Home	Yurcak Field	W 12-11 OT
August 4	Bayhawks	Away	Multi-Sport Field	W 21-11
August 11	Bayhawks	Home	United Sports Training Center	W 22-7
