English Name	Chinese Name (Simplified / Traditional)	Pinyin	Population	Post Code
Yingjiang District	迎江区 / 迎江區	Yíngjiāng Qū	251000	246000
Daguan District	大观区 / 大觀區	Dàguān Qū	275000	246000
Yixiu District	宜秀区 / 宜秀區	Yíxiù Qū	254000	246000
Tongcheng City	桐城市	Tóngchéng Shì	664000	231400
Huaining County	怀宁县 / 懷寧縣	Huáiníng Xiàn	593000	246100
Zongyang County	枞阳县 / 樅陽縣	Zōngyáng Xiàn	839000	246700
Taihu County	太湖县 / 太湖縣	Tàihú Xiàn	515000	246400
Qianshan County	潜山县 / 潛山縣	Qiánshān Xiàn	500000	246300
Susong County	宿松县 / 宿松縣	Sùsōng Xiàn	571000	246500
Wangjiang County	望江县 / 望江縣	Wàngjiāng Xiàn	527000	246200
