Pick	Player	Position	Nationality	NHL team	College/junior/club team
53	Corey Neilson	Defence	Canada	Edmonton Oilers	North Bay Centennials (OHL)
54	Chris Murray	Right Wing	Canada	Montreal Canadiens	Kamloops Blazers (WHL)
55	Vadim Epanchintsev	Centre	Russia	Tampa Bay Lightning	Spartak Moscow (Russia)
56	Dorain Anneck	Right Wing	Canada	Winnipeg Jets	Victoria Cougars (WHL)
57	Sven Butenschon	Defence	Germany	Pittsburgh Penguins	Brandon Wheat Kings (WHL)
58	Tavis Hansen	Left Wing	Canada	Winnipeg Jets	Tacoma Rockets (WHL)
59	Vitali Yachmenev	Left Wing	Russia	Los Angeles Kings	North Bay Centennials (OHL)
60	Brad Symes	Defence	Canada	Edmonton Oilers	Portland Winter Hawks (WHL)
61	Sebastien Bety	Defence	Canada	Quebec Nordiques	Drummondville Voltigeurs (QMJHL)
62	Artem Anisimov	Defence	Russia	Philadelphia Flyers	Itil Kazan (Russia)
63	Jason Strudwick	Left Wing	Canada	New York Islanders	Kamloops Blazers (WHL)
64	Fredrik Modin	Left Wing	Sweden	Toronto Maple Leafs	Timra IK (Sweden)
65	Chad Allen	Defence	Canada	Vancouver Canucks	Saskatoon Blades (WHL)
66	Alexei Yegorov	Right Wing	Russia	San Jose Sharks	SKA Saint Petersburg (Russia)
67	Craig Reichert	Right Wing	Canada	Mighty Ducks of Anaheim	Red Deer Rebels (WHL)
68	Stephane Roy	Centre	Canada	St. Louis Blues	Val-d'Or Foreurs (QMJHL)
69	Rumun Ndur	Defence	Canada	Buffalo Sabres	Guelph Storm (OHL)
70	Marko Kiprusoff	Defence	Finland	Montreal Canadiens	TPS (Finland)
71	Sheldon Souray	Defence	Canada	New Jersey Devils	Tri-City Americans (WHL)
73	Greg Crozier	Left Wing	Canada	Pittsburgh Penguins	Lawrence Academy (HS-Massachusetts)
74	Martin Belanger	Defence	Canada	Montreal Canadiens	Granby Bisons (LHJMQ)
75	Sean Gillam	Defence	Canada	Detroit Red Wings	Spokane Chiefs (WHL)
76	Alexei Krivchenkov	Defence	Russia	Pittsburgh Penguins	CSKA Moscow (Russia)
77	Chris Clark	Left Wing	United States	Calgary Flames	Springfield Olympics (NEJHL)
78	Adam Smith	Defence	Canada	New York Rangers	Tacoma Rockets (WHL)
