Pick #	Player	Position	Nationality	NHL team	College/junior/club team
1	Denis Potvin	Defence	Canada	New York Islanders	Ottawa 67's ( OHA )
2	Tom Lysiak	Centre	Canada	Atlanta Flames	Medicine Hat Tigers ( WCHL )
3	Dennis Ververgaert	Right Wing	Canada	Vancouver Canucks	London Knights (OHA)
4	Lanny McDonald	Right Wing	Canada	Toronto Maple Leafs	Medicine Hat Tigers (WCHL)
5	John Davidson	Goaltender	Canada	St. Louis Blues	Calgary Centennials (WCHL)
6	Andre Savard	Centre	Canada	Boston Bruins	Quebec Remparts ( QMJHL )
7	Blaine Stoughton	Right Wing	Canada	Pittsburgh Penguins	Flin Flon Bombers (WCHL)
8	Bob Gainey	Left Wing	Canada	Montreal Canadiens	Peterborough Petes (OHA)
9	Bob Dailey	Defence	Canada	Vancouver Canucks	Toronto Marlboros (OHA)
10	Bob Neely	Defence	Canada	Toronto Maple Leafs	Peterborough Petes (OHA)
11	Terry Richardson	Goaltender	Canada	Detroit Red Wings	New Westminster Bruins (WCHL)
12	Morris Titanic	Left Wing	Canada	Buffalo Sabres	Sudbury Wolves (OHA)
13	Darcy Rota	Left Wing	Canada	Chicago Black Hawks	Edmonton Oil Kings (WCHL)
14	Rick Middleton	Right Wing	Canada	New York Rangers	Oshawa Generals (OHA)
15	Ian Turnbull	Defence	Canada	Toronto Maple Leafs	Ottawa 67's (OHA)
16	Vic Mercredi	Centre	Canada	Atlanta Flames	New Westminster Bruins (WCHL)
