School	Suburb/Town	Years	Founded	Website
Vacy Public School	Vacy	K-6	1859	website
Valentine Public School	Valentine	K-6	1958	website
Valley View Public School	Wyoming	K-6	1980	website
Vardys Road Public School	Seven Hills	K-6	1960	website
Vaucluse Public School	Vaucluse	K-6	1858	website
Verona School	Fairfield East	K-6	1882	website
Villawood East Public School	Villawood	K-6	1955	website
Villawood North Public School	Fairfield East	K-6	1953	website
Vincentia High School	Vincentia	7–12	1993	website
Vincentia Public School	Vincentia	K-6	1992	website
Vineyard Public School	Vineyard	K-6	1872	website
