Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Tyrrell - Ford	55	1:46:42.3	1
François Cevert	Tyrrell - Ford	55	+ 28.12	7
Emerson Fittipaldi	Lotus - Ford	55	+ 34.07	17
Jo Siffert	BRM	55	+ 37.17	6
Chris Amon	Matra	55	+ 41.08	9
Reine Wisell	Lotus - Ford	55	+ 1:16.02	15
Jean-Pierre Beltoise	Matra	55	+ 1:16.93	8
John Surtees	Surtees - Ford	55	+ 1:24.91	13
Peter Gethin	McLaren - Ford	54	+ 1 Lap	19
Howden Ganley	BRM	54	+ 1 Lap	16
Rolf Stommelen	Surtees - Ford	53	+ 2 Laps	10
Tim Schenken	Brabham - Ford	50	Oil Pressure	14
François Mazet	March - Ford	50	+ 5 Laps	23
Max Jean	March - Ford	46	Not Classified	22
Henri Pescarolo	March - Ford	45	Gearbox	18
Graham Hill	Brabham - Ford	34	Oil Pipe	4
Andrea de Adamich	March - Alfa Romeo	31	Engine	20
Pedro Rodríguez	BRM	27	Ignition	5
Clay Regazzoni	Ferrari	20	Accident	2
Ronnie Peterson	March - Alfa Romeo	19	Engine	12
Denny Hulme	McLaren - Ford	16	Ignition	11
Jacky Ickx	Ferrari	4	Engine	3
Alex Soler-Roig	March - Ford	4	Fuel Pump	21
