Season #	Series #	Episode title	Original air date	Nick prod. #
1	139	" Lillix "	October 11, 2003	941
2	140	" Nodesha "	October 18, 2003	942
3	141	"Da Razkalz Cru"	October 25, 2003	943
4	142	" Third Eye Blind "	November 1, 2003	944
5	143	" Fefe Dobson "	November 22, 2003	945
7	145	" Drake Bell "	January 10, 2004	947
8	146	" OK GO "	January24,2004	948
9	147	" Britney Spears / Nick Cannon "	January31,2004	949
10	148	" Brittany Snow / Wakefield "	February7,2004	950
11	149	" Boomkat "	February14,2004	951
12	150	" Nick Lachey "	April17,2004	952
13	151	" Avril Lavigne "	June12,2004	953
14	152	"Substitute Jack"	June19,2004	954
15	153	" Aaron Carter "	June26,2004	955
