Week	Date	Opponent	Result	Attendance
1	September 29, 1957	Philadelphia Eagles	W 17-13	62,506
2	October 6, 1957	at San Francisco 49ers	L 23-20	59,637
3	October 13, 1957	at Detroit Lions	L 10-7	55,914
4	October 20, 1957	at Chicago Bears	L 34-26	47,337
5	October 27, 1957	Detroit Lions	W 35-17	77,314
6	November 3, 1957	Chicago Bears	L 16-10	80,456
7	November 10, 1957	San Francisco 49ers	W 37-24	102,368
8	November 17, 1957	at Green Bay Packers	W 31-27	19,540
9	November 24, 1957	at Cleveland Browns	L 45-31	65,407
10	December 1, 1957	at Baltimore Colts	L 31-14	52,060
11	December 8, 1957	Green Bay Packers	W 42-17	70,572
12	December 15, 1957	Baltimore Colts	W 37-21	52,560
