Round	Overall	Player	Nationality	Club team
1	3	Radek Bonk	Czech Republic	Las Vegas Thunder (IHL)
2	29	Stanislav Neckar	Czech Republic	České Budějovice HC (Czech.)
4	81	Bryan Masotta	United States	Hotchkiss Academy (US HS)
6	131	Mike Gaffney	United States	LaSalle Academy (US HS)
6	133	Daniel Alfredsson	Sweden	Frölunda HC (Gothenburg) (Sweden)
7	159	Doug Sproule	United States	Hotchkiss Academy (US HS)
9	210	Frederic Cassivi	Canada	Saint-Hyacinthe Laser (QMJHL)
9	211	Danny Dupont	Canada	Laval Titan (QMJHL)
10	237	Steve MacKinnon	United States	Chelmsford High School (US HS)
11	274	Antti Tormanen	Finland	Jokerit ( Helsinki )(Finland)
