County	Monument name	Year built	City or Town	Latitude	Longitude
Anderson	Confederate Monument in Lawrenceburg	1894	Lawrenceburg	38°02′06"N	84°53′44"W
Barren	Confederate Monument in Glasgow	1905	Glasgow	36°59′44″N	85°54′45″W
Bath	Confederate Monument in Owingsville	1907	Owingsville	38°08′32"N	83°45′34"W
Bourbon	Bourbon County Confederate Monument	1887	Paris	38°12′10″N	84°15′55″W
Boyle	Confederate Monument in Danville	1910	Danville	37°38′44″N	84°46′42″W
Boyle	Confederate Monument in Perryville	1902	Perryville	37°40′29"N	84°58′17"W
Boyle	Union Monument in Perryville	1928	Perryville	37°40′30"N	84°58′17"W
Boyle	Unknown Confederate Dead Monument in Perryville	1928	Perryville	37°40′N	84°58′W
Bracken	Confederate Monument in Augusta	1903	Augusta	38°46′9″N	84°00′44″W
Butler	Confederate-Union Veterans' Monument in Morgantown	1907	Morgantown	37°13′31″N	86°40′59″W
Caldwell	Confederate Soldier Monument in Caldwell	1912	Princeton	37°06′30″N	87°52′52″W
Calloway	Confederate Monument in Murray	1917	Murray	36°36′N	88°18′W
Christian	Confederate Memorial Fountain in Hopkinsville	1911	Hopkinsville	36°52′0″N	87°29′17″W
Christian	Latham Confederate Monument	1887	Hopkinsville	36°52′31″N	87°28′53″W
Daviess	Confederate Monument in Owensboro	1900	Owensboro	37°45′N	87°07′W
Daviess	Thompson and Powell Martyrs Monument	1864	St. Joseph	37°41′43″N	87°19′30″W
Fayette	Confederate Soldier Monument in Lexington	1893	Lexington	38°03′35″N	84°30′34″W
Fayette	John C. Breckinridge Memorial	1887	Lexington	38°02′53.03″N	84°29′55.17″W
Fayette	John Hunt Morgan Memorial	1911	Lexington	38°02′51″N	84°29′55″W
Fayette	Ladies' Confederate Memorial	1874	Lexington	38°03′34″N	84°30′32″W
Franklin	Colored Soldiers Monument in Frankfort	1924	Frankfort	38°12′18″N	84°50′18″W
Franklin	Confederate Monument in Frankfort	1892	Frankfort	38°11′48″N	84°52′05″W
Fulton	Confederate Memorial in Fulton	1902	Fulton	36°30′N	88°52′W
Fulton	Confederate Memorial Gateway in Hickman	1913	Hickman	36°34′N	89°11′W
Graves	Camp Beauregard Memorial in Water Valley	1909	Water Valley	36°34′22″N	88°47′36″W
Graves	Confederate Memorial Gates in Mayfield	1924	Mayfield	36°45′02″N	88°38′08″W
Graves	Confederate Memorial in Mayfield	1920	Mayfield	36°44′33″N	88°38′07″W
Harrison	Confederate Monument in Cynthiana	1869	Cynthiana	38°23′41″N	84°16′51″W
Hart	Colonel Robert A. Smith Monument	1884	Munfordville	37°15′27″N	85°53′46″W
Hart	Unknown Confederate Soldier Monument in Horse Cave	1934	Horse Cave	37°11′37″N	85°55′37″W
Henry	Confederate Soldiers Martyrs Monument in Eminence	1870	Eminence	38°21′35″N	85°10′50″W
Jefferson	Adolph Bloedner Monument	1862	Louisville	38°14′54″N	85°43′19″W
Jefferson	Confederate Martyrs Monument in Jeffersontown	1904	Jeffersontown	38°11′25″N	85°34′08″W
Jefferson	Confederate Monument in Louisville	1895	Louisville	38°13′06″N	85°45′43″W
Jefferson	John B. Castleman Monument	1913	Louisville	38°14′09″N	85°42′32″W
Jefferson	Union Monument in Louisville	1914	Louisville	38°14′54″N	85°43′20″W
Jessamine	Confederate Memorial in Nicholasville	1896	Nicholasville	37°52′N	84°34′W
Kenton	GAR Monument in Covington	1929	Covington	39°04′23″N	84°30′53″W
Kenton	Veteran's Monument in Covington	1933	Covington	39°04′22″N	84°30′54″W
Lewis	Union Monument in Vanceburg	1884	Vanceburg	38°35′N	83°19′W
Lincoln	Confederate Monument at Crab Orchard	1872	Crab Orchard	37°27′N	84°30′W
Logan	Confederate Monument in Russellville	1910	Russellville	36°50′42″N	86°53′15″W
Marion	Captain Andrew Offutt Monument	1921	Lebanon	37°34′24″N	85°14′30″W
McCracken	Confederate Monument in Paducah	1907	Paducah	37°05′10″N	88°37′24″W
McCracken	Lloyd Tilghman Memorial	1909	Paducah	37°04′55″N	88°37′11″W
Mercer	Beriah Magoffin Monument	1900	Harrodsburg	37°46′10″N	84°50′20″W
Mercer	Confederate Monument in Harrodsburg	1902	Harrodsburg	37°46′09″N	84°50′29″W
Montgomery	Confederate Monument of Mt. Sterling	1880	Mt. Sterling	38°03′23″N	83°55′55″W
Nelson	Confederate Monument of Bardstown	1903	Bardstown	37°49′28″N	85°27′42″W
Oldham	Confederate Memorial in Pewee Valley	1904	Pewee Valley	38°18′12″N	85°28′34″W
Pulaski	Battle of Dutton's Hill Monument	1875	Somerset	37°07′03″N	84°36′14″W
Pulaski	Confederate Mass Grave Monument in Somerset	1910	Somerset	37°03′20″N	84°44′22″W
Pulaski	General Felix K. Zollicoffer Monument	1910	Nancy	37°04′N	84°44′W
Scott	Confederate Monument in Georgetown	1888	Georgetown	38°11′53″N	84°33′38″W
Taylor	Battle of Tebb's Bend Monument	1872	Campbellsville	37°13′49″N	85°20′50″W
Trigg	Confederate Monument of Cadiz	1913	Cadiz	36°52′N	87°49′W
Union	Confederate Monument of Morganfield	1870	Morganfield	37°41′38″N	87°54′46″W
Warren	Confederate Monument of Bowling Green	1876	Bowling Green	36°59′40″N	86°25′15″W
Warren	William F. Perry Monument	1901	Bowling Green	36°59′40″N	86°25′15″W
Woodford	Confederate Monument in Versailles	1877	Versailles	38°02′57″N	84°43′44″W
Woodford	Martyrs Monument in Midway	1890	Midway	38°08′53″N	84°41′40″W
