map#	County	Capital	Population (2008)	Area	Created
1	Bomi	Tubmanburg	82,036	sqmi (km2)	1984
2	Bong	Gbarnga	328,919	sqmi (km2)	1964
3	Gbarpolu	Bopulu	83,758	sqmi (km2)	2001
4	Grand Bassa	Buchanan	224,839	sqmi (km2)	1839
5	Grand Cape Mount	Robertsport	129,055	sqmi (km2)	1844
6	Grand Gedeh	Zwedru	126,146	sqmi (km2)	1964
7	Grand Kru	Barclayville	57,106	sqmi (km2)	1984
8	Lofa	Voinjama	270,114	sqmi (km2)	1964
9	Margibi	Kakata	199,689	sqmi (km2)	1985
10	Maryland	Harper	136,404	sqmi (km2)	1857
11	Montserrado	Bensonville	1,144,806	sqmi (km2)	1839
12	Nimba	Sanniquellie	468,088	sqmi (km2)	1964
13	Rivercess	Rivercess	65,862	sqmi (km2)	1985
14	River Gee	Fish Town	67,318	sqmi (km2)	2000
15	Sinoe	Greenville	104,932	sqmi (km2)	1843
