Game	December	Opponent	Score	Record
23	1	Florida Panthers	5 - 4 OT	7-9-7
24	2	@ New York Islanders	3 - 2	8-9-7
25	5	@ Ottawa Senators	2 - 1	9-9-7
26	7	Toronto Maple Leafs	6 - 2	10-9-7
27	9	Colorado Avalanche	2 - 1	10-10-7
28	11	@ Buffalo Sabres	2 - 0	10-11-7
29	14	Calgary Flames	5 - 2	11-11-7
30	16	@ New Jersey Devils	6 - 3	11-12-7
31	19	@ Toronto Maple Leafs	7 - 4	11-13-7
32	23	Carolina Hurricanes	1 - 0	11-14-7
33	26	@ Carolina Hurricanes	6 - 3	12-14-7
34	30	@ Phoenix Coyotes	3 - 1	12-15-7
35	31	@ Colorado Avalanche	6 - 3	13-15-7
