Date	Opponent	Location	Result	Attendance
09/06/1986	Appalachian State	Groves Stadium • Winston-Salem, NC	W 21-13	28,700
09/13/1986	Boston University	Groves Stadium • Winston-Salem, NC	W 31-0	17,800
09/20/1986*	at North Carolina State	Carter-Finley Stadium • Raleigh, NC	L 38-42	37,400
09/27/1986	at Army	Michie Stadium • West Point, NY	W 49-14	40,853
10/04/1986*	Virginia	Groves Stadium • Winston-Salem, NC	L 28-30	25,400
10/11/1986*	North Carolina	Groves Stadium • Winston-Salem, NC	L 30-40	31,350
10/18/1986*	at Maryland	Byrd Stadium • College Park, MD	W 27-21	39,650
11/01/1986*	Clemson	Groves Stadium • Winston-Salem, NC	L 20-28	20,370
11/08/1986*	at Duke	Wallace Wade Stadium • Durham, NC	L 36-38	36,200
11/15/1986	at South Carolina	Williams-Brice Stadium • Columbia, SC	L 21-48	64,186
11/22/1986*	Georgia Tech	Groves Stadium • Winston-Salem, NC	W 24-21	17,300
