Rider	Date	Place	Race	Event	Machine
Victor Surridge	27 June 1911	Glen Helen	1911 Isle of Man TT	Practice	Rudge-Whitworth
Frank R Bateman	6 June 1913	Creg-na-Baa	1913 Isle of Man TT	Senior TT	499cc Rudge
Fred Walker	19 May 1914	Ballaquayle Road	1914 Isle of Man TT	Junior TT	Royal Enfield
J H H Veasey	15 June 1923	Greeba Bridge	1923 Isle of Man TT	Senior TT	500cc Douglas
Ned Brew	15 September 1923	Hillberry Corner	1923 Manx Amateur Road Races	Practice	Frera
J T A Temple	31 August 1925	Glentramman	1925 Manx Amateur Road Races	Practice	Norton
Archie Birkin	7 June 1927	Rhencullen	1927 Isle of Man TT	Practice	500cc McEvoy
John Cooke	15 June 1927	East Snaefell Mountain Gate	1927 Isle of Man TT	Lightweight TT	249cc DOT
Cecil Ashby	10 June 1929	Ballacraine	1929 Isle of Man TT	Junior TT	New Imperial
Doug Lamb	14 June 1929	Greeba Bridge	1929 Isle of Man TT	Senior TT	500cc Norton
Freddie Hicks	19 June 1931	Union Mills	1931 Isle of Man TT	Senior TT	AJS
Frank Longman	14 June 1933	Glentramman Corner	1933 Isle of Man TT	Lightweight TT	Excelsior
Arthur Pilling	31 August 1933	Hillberry Corner	1933 Manx Grand Prix	Practice	Norton
Syd Crabtree	13 June 1934	Stonebreakers Hut	1934 Isle of Man TT	Lightweight TT	Excelsior
John Gilbert	3 September 1934	Sulby Bridge	1934 Manx Grand Prix	Practice	Velocette
J.P.Williamson	6 September 1934	Kirk Michael Village	1934 Manx Grand Prix	Practice	498cc Rudge
J.A.MacDonald	17 June 1935	Union Mills	1935 Isle of Man TT	Junior TT	Norton
Doug Pirie	19 June 1935	33rd Milestone	1935 Isle of Man TT	Lightweight TT	New Imperial
Jack Moore	13 June 1938	East Mountain Gate	1938 Isle of Man TT	Junior TT	Norton
Percy Pritlove	12 September 1938	Union Mills	1938 Manx Grand Prix	Practice	Vincent HRD
Karl Gall	2 June 1939	Ballaugh Bridge	1939 Isle of Man TT	Practice	BMW
A.W.F.Johns	26 August 1946	Ballavolley	1946 Manx Grand Prix	Practice	500cc Norton
Peter M Aitchinson	5 September 1946	33rd Milestone	1946 Manx Grand Prix	Senior	500cc Norton
Benjy Russell	9 September 1947	School House Corner	1947 Manx Grand Prix	Lightweight	Moto-Guzzi
Johan Erik van Tilburg	28 May 1948	Windy Corner/33rd Milestone	1948 Isle of Man TT	Practice	350cc AJS
Thomas Bryant	3 June 1948	Hillberry Corner	1948 Isle of Man TT	Practice	Velocette
Neil ('Noel') Christmas	11 June 1948	Douglas Road Corner	1948 Isle of Man TT	Senior TT	500cc Norton
Ben Drinkwater	13 June 1949	11th Milestone	1949 Isle of Man TT	Junior TT	350cc Norton
John Makaula-White	29 May 1950	Handley's Corner	1950 Isle of Man TT	Practice	500cc Triumph
Thomas A. Westfield	30 May 1950	Keppel Gate	1950 Isle of Man TT	Practice	500cc Triumph
Alfred Bent	8 September 1950	Birkin's Bend	1950 Manx Grand Prix	Practice	Velocette
Leonard C Bolshaw	29 May 1951	32nd Milestone	1951 Isle of Man TT	Practice– Senior Clubmans	Triumph
John P. O’Driscoll	31 May 1951	33rd Milestone	1951 Isle of Man TT	Practice	Rudge
John T Wenman	4 June 1951	Rhencullen Hill/Bishopscourt	1951 Isle of Man TT	Junior TT	Norton
Doug L Parris	4 June 1951	Bungalow	1951 Isle of Man TT	Junior Clubman Race	Douglas
Chris Horn	8 June 1951	Laurel Bank	1951 Isle of Man TT	Senior TT Race	Norton
J.M. Crowe	14 September 1951	Appledene	1951 Manx Grand Prix	Senior	Norton
Frank Fry	4 June 1952	Westwood Corner	1952 Isle of Man TT	Practice	Norton
Brian A. Jackson	2 September 1952	Brandywell	1952 Manx Grand Prix	Practice	496cc Norton
Ivor K. Arber	2 September 1952	Hillberry Corner	1952 Manx Grand Prix	Practice	Norton
Kenneth R.V. James	5 September 1952	Cronk-ny-Mona /Signpost Corner	1952 Manx Grand Prix	Practice	500cc Manx Norton
Michael Richardson	11 September 1952	Bray Hill	1952 Manx Grand Prix	Senior	348cc AJS
Harry L Stephen	8 June 1953	Bishopscourt	1953 Isle of Man TT	Junior TT	Norton
Thomas W Swarbrick	8 June 1953	13th Milestone	1953 Isle of Man TT	Junior TT	350cc AJS
Les Graham	12 June 1953	Quarterbridge Road	1953 Isle of Man TT	Senior TT	500cc MV Agusta
Geoffrey G. Walker	12 June 1953	Kerrowmoar	1953 Isle of Man TT	Senior TT	Norton
Raymond G Ashford	7 June 1954	Laurel Bank	1954 Isle of Man TT	Practice	350cc BSA
Simon Sandys-Winsch	18 June 1954	Highlander	1954 Isle of Man TT	Senior TT	350cc Velocette
Ronald Butler	7 September 1954	Birkin's Bend	1954 Manx Grand Prix	Junior	350cc AJS
Eric W. Milton	3 September 1955	Birkin's Bend	1955 Manx Grand Prix	Practice	499cc BSA
James Watson Davie	6 September 1955	Gooseneck	1955 Manx Grand Prix	Junior	AJS
David Merridan	11 June 1956	Ballaugh Bridge	1956 Isle of Man TT	Practice	499cc BSA Gold Star
Peter G Kirkham	14 June 1956	Waterworks Corner	1956 Isle of Man TT	Junior Clubmans	350cc BSA
Maurice W. Saluz	31 August 1956	Sulby Bridge	1956 Manx Grand Prix	Practice	500cc Norton
Charles F Salt	7 June 1957	Ballagarraghyn (Gorse Lea)	1957 Isle of Man TT	Senior TT	BSA
John F. Antram	26 May 1958	Cruickshanks Corner	1958 Isle of Man TT	Practice	AJS
Desmond D. Woolf	6 June 1958	Cronk Villa Cottage Barregarrow	1958 Isle of Man TT	Senior TT	498cc Norton
Maurice Wassell	5 September 1958	32nd Milestone	1958 Manx Grand Prix	Practice	350cc AJS
John Hutchinson	8 September 1958	32nd Milestone	1958 Manx Grand Prix	Snaefell Race	350cc BSA
James E. Coates	5 September 1959	33rd Milestone	1959 Manx Grand Prix	Practice	AJS
John D. Hamilton	10 September 1959	33rd Milestone	1959 Manx Grand Prix	Senior	500cc Norton
John T. Sapsford	8 September 1960	Westwood Corner	1960 Manx Grand Prix	Senior	500cc BSA
Michael T Brookes	10 June 1961	Glentramman	1961 Isle of Man TT	Practice	499cc Norton
Marie Lambert	12 June 1961	Gob-y-Geay	1961 Isle of Man TT	Sidecar TT (Passenger)	BMW
Ralph Rensen	16 June 1961	11th Milestone	1961 Isle of Man TT	Senior TT	Norton
Geofrey J Griffin	31 August 1961	Glencrutchery Road	1961 Manx Grand Prix	Practice	500cc G50 Matchless
Fred Neville	5 September 1961	Appledene	1961 Manx Grand Prix	Junior	350cc AJS
Tom Phillis	6 June 1962	Laurel Bank	1962 Isle of Man TT	Junior TT	285cc Honda
Colin Meehan	6 June 1962	Union Mills	1962 Isle of Man TT	Junior TT	349cc AJS
Tom Pratt	4 September 1962	Appledene	1962 Manx Grand Prix	Junior	348cc Norton
Charles E Robinson	4 September 1962	Bishopscourt	1962 Manx Grand Prix	Junior	305cc Honda
Geofrey C. Prentice	4 September 1962	Birkin's Bend	1962 Manx Grand Prix	Junior	AJS
Keith T. Gawler	6 September 1962	Pinfold Cottage	1962 Manx Grand Prix	Senior	499cc Norton
Raymond Rowe	5 September 1963	Verandah	1963 Manx Grand Prix	Senior	499cc Norton
Brian W Cockrell	2 June 1964	Braddan Bridge	1964 Isle of Man TT	Practice	Norton
Laurence P Essery	9 June 1964	Ballaugh Bridge	1964 Isle of Man TT	Sidecar TT (Passenger)	Matchless
George B Armstrong	1 September 1965	Sulby Bridge	1965 Manx Grand Prix	Practice	Triton
