Number	Sanskrit	International Alphabet of Sanskrit Transliteration	Sanskrit gloss	Western name	Greek	Gloss	Tattva (Element)	Quality	Ruling Planet
1	मेष	Meṣa	ram	Aries	Κριός	ram	Tejas (Fire)	Cara (Movable)	Mars
2	वृषभ	Vṛṣabha	bull	Taurus	Ταῦρος	bull	Prithivi (Earth)	Sthira (Fixed)	Venus
3	मिथुन	Mithuna	twins	Gemini	Δίδυμοι	twins	Vayu (Air)	Dvisvabhava (Dual)	Mercury
4	कर्कट	Karkaṭa	crab	Cancer	Καρκίνος	crab	Jala (Water)	Cara (Movable)	Moon
5	सिंह	Siṃha	lion	Leo	Λέων	lion	Tejas (Fire)	Sthira (Fixed)	Sun
6	कन्या	Kanyā	girl	Virgo	Παρθένος	virgin	Prithivi (Earth)	Dvisvabhava (Dual)	Mercury
7	तुला	Tulā	balance	Libra	Ζυγός	balance	Vayu (Air)	Cara (Movable)	Venus
8	वृश्चिक	Vṛścika	scorpion	Scorpio	Σκoρπιός	scorpion	Jala (Water)	Sthira (Fixed)	Mars
9	धनुष	Dhanus	bow	Sagittarius	Τοξότης	archer	Tejas (Fire)	Dvisvabhava (Dual)	Jupiter
10	मकर	Makara	sea-monster	Capricorn	Αἰγόκερως	goat-horned	Prithivi (Earth)	Cara (Movable)	Saturn
11	कुम्भ	Kumbha	pitcher	Aquarius	Ὑδροχόος	water-pourer	Vayu (Air)	Sthira (Fixed)	Saturn
