Place	Player	Country	Score	To par
1	Stacy Lewis	United States	73-70-67=210	–9
2	Paula Creamer	United States	70-72-69=211	–8
T3	Helen Alfredsson	Sweden	70-71-71=212	–7
T3	Inbee Park	South Korea	72-69-71=212	–7
5	I.K. Kim	South Korea	71-73-69=213	–6
6	Mi Hyun Kim	South Korea	72-72-70=214	–5
T7	Mariajo Uribe (a)	Colombia	69-74-72=215	–4
T7	Angela Park	Brazil United States	73-67-75=215	–4
T9	Young Kim	South Korea	74-71-71=216	–3
T9	Momoko Ueda	Japan	72-71-73=216	–3
T9	Teresa Lu	Taiwan	71-72-73=216	–3
T9	Jeong Jang	South Korea	73-69-74=216	–3
