Place	Player	Country	Score	To par	Money ( $ )
T1	Curtis Strange	United States	70-67-69-72=278	–6	Playoff
T1	Nick Faldo	England	72-67-68-71=278	–6	Playoff
T3	Mark O'Meara	United States	71-72-66-71=280	–4	41,370
T3	Steve Pate	United States	72-69-72-67=280	–4	41,370
T3	D. A. Weibring	United States	71-69-68-72=280	–4	41,370
T6	Paul Azinger	United States	69-70-76-66=281	–3	25,414
T6	Scott Simpson	United States	69-66-72-74=281	–3	25,414
T8	Bob Gilder	United States	68-69-70-75=282	–2	20,903
T8	Fuzzy Zoeller	United States	73-72-71-66=282	–2	20,903
T10	Fred Couples	United States	72-67-71-73=283	–1	17,870
T10	Payne Stewart	United States	73-73-70-67=283	–1	17,870
