Week	Date	Opponent	Result	Attendance
1	September 11, 1966	St. Louis Cardinals	L 16–13	39,066
2	September 18, 1966	Atlanta Falcons	W 23–10	54,049
3	September 25, 1966	New York Giants	W 35–17	60,177
4	October 2, 1966	St. Louis Cardinals	L 41–10	59,305
5	October 9, 1966	at Dallas Cowboys	L 56–7	69,372
6	October 16, 1966	at Pittsburgh Steelers	W 31–14	28,233
7	October 23, 1966	at New York Giants	W 31–3	63,018
8	October 30, 1966	Washington Redskins	L 27–13	60,652
9	November 6, 1966	Dallas Cowboys	W 24–23	60,658
10	November 13, 1966	at Cleveland Browns	L 27–7	77,968
11	November 20, 1966	at San Francisco 49ers	W 35–34	31,993
12	Bye	Bye	Bye	Bye
13	December 4, 1966	Pittsburgh Steelers	W 27–23	54,275
14	December 11, 1966	Cleveland Browns	W 33–21	58,074
15	December 18, 1966	at Washington Redskins	W 37–28	50,405
