Number in series	Broadcast Order	Title	Directed by	Written by	Original airdate	Production Code
19	S02 E01	"Ur askan i elden"	Filippa Wallström	Bror Yngve Andersson	14 January 1993	201
20	S02 E02	"Skamfläckar sitter djupt"	Filippa Wallström	Liselott Svensson	21 January 1993	202
21	S02 E03	"Tjockare än vatten"	Filippa Wallström	Charlotte Lesche	28 January 1993	203
22	S02 E04	"Lysande utsikter"	Marcelo Racana	Lotten Strömstedt	4 February 1993	204
23	S02 E05	"En vän i nöden"	Marcelo Racana	Carolina Falck	11 February 1993	205
24	S02 E06	"Vapenskrammel"	Marcelo Racana	Bror Yngve Anderson	18 February 1993	206
25	S02 E07	"Första kyssen"	Christian Wikander	Anna Fredriksson	25 February 1993	207
26	S02 E08	"Dubbelspel"	Christian Wikander	Åsa Furuhagen	4 March 1993	208
27	S02 E09	"Var går gränsen"	Christian Wikander	Liselott Svensson	11 March 1993	209
28	S02 E10	"På drift"	Filippa Wallström	Åsa Furuhagen	18 March 1993	210
29	S02 E11	"Falskt spel"	Filippa Wallström	Charlotte Lesche	25 March 1993	211
