Artist	Country	Number-one single(s)	Year	Weeks at #1	Straight to #1 ?
D'Avilla, Philippe	France	" Les Rois du monde "	2000	17	No
Daft Punk	France	" One More Time "	2000	1	Yes
Début de Soirée	France	" Nuit de folie "	1988	9	No
Desvarieux, Jacob	France	" Laisse parler les gens " 1	2003	3	No
Diam's	Cyprus	" La Boulette "	2006	3	No
Dion, Céline	Canada	" Pour que tu m'aimes encore "	1995	12	No
Dion, Céline	Canada	" Je sais pas "	1995	7	No
Dion, Céline	Canada	" The Reason " / " My Heart Will Go On "	1998	13	No
Dion, Céline	Canada	" Sous le vent "	2001	3	Yes
Dire Straits	United Kingdom	" Your Latest Trick "	1993	6	Yes
DJ BoBo	Switzerland	" Chihuahua "	2003	10	No
Doré, Julien	Canada	"Pour un infidèle"	2010	1	Yes
