Actor/actress	Character	Rank	Tenure	Episodes
Rodger Corser	Lawson Blake	Senior Sergeant	2008–2011	01–70
Callan Mulvey	Brendan 'Josh' Joshua	Sergeant	2008–2011	01–70
Claire van der Boom	Grace Barry	Senior Constable	2008	01–11
Josef Ber	Dominic Wales	Sergeant	2008–2010	01–51
Nicole da Silva	Stella Dagostino	Senior Constable	2008–2011	01–70
Ashley Zukerman	Michael Sandrelli	Senior Constable	2008–2011	01-65
Samuel Johnson	Leon Broznic	Intelligence Officer	2008–2011	01-70
Catherine McClements	Kerry Vincent	Superintendent	2008–2011	01-70
Jolene Anderson	Shannon Henry	Sergeant	2009–2011	14-70
Kevin Hofbauer	Christian Tapu	Constable	2010–2011	36-70
Antony Starr	Charlie Lewis	Senior Sergeant	2011	58-70
