Date	Event	Home Team	Away Team	Score
May 30, 2012	Friendly	Canada	China	1-0
August 6, 2014	2014 FIFA U-20 Women's World Cup	C1	C2	Match 5
August 6, 2014	2014 FIFA U-20 Women's World Cup	C3	C4	Match 6
August 9, 2014	2014 FIFA U-20 Women's World Cup	C1	C3	Match 13
August 9, 2014	2014 FIFA U-20 Women's World Cup	C2	C4	Match 14
August 12, 2014	2014 FIFA U-20 Women's World Cup	A2	A3	Match 18
August 12, 2014	2014 FIFA U-20 Women's World Cup	B2	B3	Match 20
August 17, 2014	2014 FIFA U-20 Women's World Cup	Winner Group C	Runner-up Group D	Match 27 (QF)
August 20, 2014	2014 FIFA U-20 Women's World Cup	Winner Match 25	Winner Match 27	Match 29 (SF)
June 9, 2015	2015 FIFA Women's World Cup	F1	F2	Match 11
June 9, 2015	2015 FIFA Women's World Cup	F3	F4	Match 12
June 13, 2015	2015 FIFA Women's World Cup	F1	F3	Match 23
June 13, 2015	2015 FIFA Women's World Cup	F2	F4	Match 24
June 15, 2015	2015 FIFA Women's World Cup	B2	B3	Match 28
June 17, 2015	2015 FIFA Women's World Cup	E4	E1	Match 33
June 21, 2015	2015 FIFA Women's World Cup	Winner Group E	Runner-up Group D	Match 41 (R16)
