Release date	Release title	Country	Publisher	Format	Language	Subtitles	Notes
1 January 2000	Martial Law: Shanghai Express	Hong Kong	Deltamac (HK)	NTSC	English	Traditional Chinese	1 VCD
15 April 2005	Martial Law: Diamond Fever	Hong Kong	Deltamac (HK)	NTSC	English	Traditional Chinese	1 VCD
15 April 2005	Martial Law: Dead Ringers	Hong Kong	Deltamac (HK)	NTSC	English	Traditional Chinese	1 VCD
15 April 2005	Martial Law: Funny Money	Hong Kong	Deltamac (HK)	NTSC	English	Traditional Chinese	1 VCD
15 April 2005	Martial Law: Extreme Mesures	Hong Kong	Deltamac (HK)	NTSC	English	Traditional Chinese	1 VCD
15 April 2005	Martial Law: Trackdown	Hong Kong	Deltamac (HK)	NTSC	English	Traditional Chinese	1 VCD
15 April 2005	Martial Law: Take Out	Hong Kong	Deltamac (HK)	NTSC	English	Traditional Chinese	1 VCD
15 April 2005	Martial Law: Lock-Up	Hong Kong	Deltamac (HK)	NTSC	English	Traditional Chinese	1 VCD
15 April 2005	Martial Law: Substitutes	Hong Kong	Deltamac (HK)	NTSC	English	Traditional Chinese	1 VCD
15 April 2005	Martial Law: Trifecta	Hong Kong	Deltamac (HK)	NTSC	English	Traditional Chinese	1 VCD
15 April 2005	Martial Law Collection	Hong Kong	Deltamac (HK)	NTSC	English	Traditional Chinese	10 VCD's
