Rank	Name	Nation	Points	Places
1	Sjoukje Dijkstra	Netherlands	2018.5	9
2	Regine Heitzer	Austria	1945.5	22
3	Petra Burka	Canada	1940.0	25
4	Nicole Hassler	France	1887.7	38
5	Miwa Fukuhara	Japan	1845.1	50
6	Peggy Fleming	United States	1819.6	59
7	Christine Haigler	United States	1803.8	74
8	Albertina Noyes	United States	1798.9	73
9	Helli Sengtschmid	Austria	1782.1	85
10	Wendy Griner	Canada	1775.3	91
11	Sally-Anne Stapleford	Great Britain	1757.9	108
12	Shirra Kenworthy	Canada	1756.3	104
13	Kumiko Okawa	Japan	1725.4	136
14	Inge Paul	Germany	1720.3	139
15	Hana Mašková	Czechoslovakia	1714.8	142
16	Carol-Ann Warner	Great Britain	1692.9	162
17	Zsuzsa Almássy	Hungary	1702.2	159
18	Diana Clifton-Peach	Great Britain	1711.7	152
19	Gabriele Seyfert	Germany	1685.1	177
20	Ingrid Ostler	Austria	1684.8	171
21	Ann Margret Frei-Käck	Sweden	1661.1	191
22	Junko Ueno	Japan	1685.0	170
23	Franziska Schmidt	Germany	1662.8	193
24	Uschi Keszler	Germany	1642.3	213
25	Jana Mrázková	Czechoslovakia	1646.4	205
26	Sandra Brugnera	Italy	1612.5	221
27	Monika Zingg	Switzerland	1568.9	248
28	Anne Karin Dehle	Norway	1571.9	248
29	Genevieve Burdel	France	1542.0	255
30	Berit Unn Johansen	Norway	1524.9	265
