Player	Pos.	From	School/Country	Rebs	Asts
Maciej Lampe Category:Articles with hCards	PF	2004	Poland	76	10
Andrew Lang Category:Articles with hCards	C	1988	Arkansas	1,267	100
Antonio Lang Category:Articles with hCards	SF	1994	Duke	4	1
Dan Langhi Category:Articles with hCards	PF	2002	Vanderbilt	87	21
Dave Lattin Category:Articles with hCards	F/C	1968	UTEP	323	48
Gani Lawal Category:Articles with hCards	PF	2010	Georgia Tech	0	0
Mo Layton Category:Articles with hCards	PG	1971	USC	241	386
Ron Lee Category:Articles with hCards	PG	1976	Oregon	666	700
Tim Legler Category:Articles with hCards	SG	1990	La Salle	8	6
Olexsiy "Alex" Len Category:Articles with hCards	C	2013	Maryland	3	0
Randy Livingston Category:Articles with hCards	PG	1999	LSU	132	173
Horacio Llamas Category:Articles with hCards	C	1997	Grand Canyon	36	5
Ian Lockhart Category:Articles with hCards	PF	1990	Tennessee	0	0
Luc Longley Category:Articles with hCards	C	1999	New Mexico	544	122
Robin Lopez Category:Articles with hCards	C	2008	Stanford	791	43
Maurice Lucas Category:Articles with hCards	PF	1982	Marquette	2,081	567
Phil Lumpkin Category:Articles with hCards	PG	1975	Miami (Ohio)	23	48
