Season	Series	Team	Races	Wins	Poles	Position
2005	Formula Renault 2.0 Italia	Cram Competition	17	6	2	3rd
2005	Eurocup Formula Renault 2.0	Cram Competition	2	0	0	NC†
2005	Formula Renault 2.0 UK	Team AKA	2	0	0	28th
2005	Formula Renault 3.5 Series	Cram Competition	2	0	0	39th
2006	Formula Renault 3.5 Series	Cram Competition	17	1	0	8th
2007	Formula Renault 3.5 Series	Prema Powerteam	17	2	0	2nd
2008	GP2 Series	Barwa International Campos Team	6	0	0	15th
2008	GP2 Asia Series	Barwa International Campos Team	6	0	0	24th
2008	GP2 Asia Series	Durango	2	0	0	24th
2009	Euroseries 3000	Fisichella Motor Sport	2	1	0	6th
