Year	54 holes	Winning score	Margin of victory	Runner(s)-up
1999	5 shot lead	–10 (66-71-62-71=270)	1 stroke	Phil Mickelson
1999	1 shot deficit	–6 (71-69-70-68=278)	Playoff 1	Miguel Ángel Jiménez
2000	9 shot lead	–21 (64-61-67-67=259)	11 strokes	Justin Leonard , Phillip Price
2001	2 shot deficit	–12 (66-67-66-69=268)	Playoff 2	Jim Furyk
2002	5 shot lead	–25 (65-65-67-66=263)	1 stroke	Retief Goosen
2003	n/a	2 & 1	2 & 1	David Toms
2003	2 shot lead	–6 (67-66-69-72=274)	2 strokes	Stuart Appleby , Tim Herron , Vijay Singh
2004	n/a	3 & 2	3 & 2	Davis Love III
2005	Tied for lead	–6 (66-70-67-71=274)	1 stroke	Chris DiMarco
2005	2 shot deficit	–10 (67-68-68-67=270)	Playoff 3	John Daly
2006	1 shot deficit	–10 (67-64-71-68=270)	Playoff 4	Stewart Cink
2006	6 shot lead	–23 (63-64-67-67=261)	8 strokes	Ian Poulter , Adam Scott
2007	4 shot lead	–10 (71-66-68-73=278)	2 strokes	Brett Wetterich
2007	1 shot deficit	–8 (68-70-69-65=272)	8 strokes	Justin Rose , Rory Sabbatini
2008	n/a	8 & 7	8 & 7	Stewart Cink
2009	3 shot deficit	–12 (68-70-65-65=268)	4 strokes	Robert Allenby , Pádraig Harrington
2013	4 shot lead	–19 (66-65-67-71=269)	2 strokes	Steve Stricker
2013	7 shot lead	–15 (66-61-68-70=265)	7 strokes	Keegan Bradley , Henrik Stenson
