Date	Time	Round	Opponent	Ground	Score
24 August 2008	20:45 CET	Final	Roma	Home	2–2 (6–5 P)
30 August 2008	20:30 CET	01	Sampdoria	Away	1–1
13 September 2008	20:30 CET	02	Catania	Home	2–1
16 September 2008	20:45 CET	Group Stage	Panathinaikos	Away	2–0
21 September 2008	15:00 CET	03	Torino	Away	3–1
24 September 2008	20:30 CET	04	Lecce	Home	1–0
28 September 2008	20:30 CET	05	Milan	Away	0–1
1 October 2008	20:45 CET	Group Stage	Werder Bremen	Home	1–1
4 October 2008	20:30 CET	06	Bologna	Home	2–1
19 October 2008	20:30 CET	07	Roma	Away	4–0
22 October 2008	20:45 CET	Group Stage	Anorthosis	Home	1–0
26 October 2008	15:00 CET	08	Genoa	Home	0–0
29 October 2008	20:30 CET	09	Fiorentina	Away	0–0
1 November 2008	20:30 CET	10	Reggina	Away	3–2
4 November 2008	20:45 CET	Group Stage	Anorthosis	Away	3–3
9 November 2008	15:00 CET	11	Udinese	Home	1–0
15 November 2008	20:30 CET	12	Palermo	Away	2–0
22 November 2008	20:30 CET	13	Juventus	Home	1–0
26 November 2008	20:45 CET	Group Stage	Panathinaikos	Home	0–1
30 November 2008	15:00 CET	14	Napoli	Home	2–1
6 December 2008	20:30 CET	15	Lazio	Away	3–0
9 December 2008	20:45 CET	Group Stage	Werder Bremen	Away	1–2
14 December 2008	15:00 CET	16	Chievo	Home	4–2
20 December 2008	20:30 CET	17	Siena	Away	2–1
10 January 2009	20:30 CET	18	Cagliari	Home	1–1
13 January 2009	21:00 CET	Last 16	Genoa	Home	3–1 (a.e.t.)
18 January 2009	15:00 CET	19	Atalanta	Away	1–3
21 January 2009	21:00 CET	Quarterfinal	Roma	Home	2–1
25 January 2009	20:30 CET	20	Sampdoria	Home	1–0
28 January 2009	20:30 CET	21	Catania	Away	2–0
1 February 2009	15:15 CET	22	Torino	Home	1–1
7 February 2009	18:00 CET	23	Lecce	Away	3–0
15 February 2009	20:30 CET	24	Milan	Home	2–1
21 February 2009	16:00 CET	25	Bologna	Away	2–1
24 February 2009	20:45 CET	Last 16	Manchester United	Home	0–0
1 March 2009	15:00 CET	26	Roma	Home	3–3
4 March 2009	20:45 CET	Semifinal	Sampdoria	Away	0-3
7 March 2009	15:00 CET	27	Genoa	Away	2-0
11 March 2009	20:45 CET	Last 16	Manchester United	Away	0-2
15 March 2009	20:30 CET	28	Fiorentina	Home	2-0
22 March 2009	15:00 CET	29	Reggina	Home	3-0
5 April 2009	15:00 CET	30	Udinese	Away	1-0
11 April 2009	15:00 CET	31	Palermo	Home	2-2
19 April 2009	20:30 CET	32	Juventus	Away	1-1
23 April 2009	20:45 CET	Semifinal	Sampdoria	Home	1-0
26 April 2009	15:00 CET	33	Napoli	Away	0-1
3 May 2009	20:30 CET	34	Lazio	Home	2-0
10 May 2009	15:00 CET	35	Chievo	Away	2-2
17 May 2009	20:30 CET	36	Siena	Home	3-0
24 May 2009	15:00 CET	37	Cagliari	Away	1-2
31 May 2009	15:00 CET	38	Atalanta	Home	4-3
