Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	August 4, 2003	Spain F15, Denia	Clay	Karim Maamoun	Jordi Marse-Vidri & Daniel Muñoz-de la Nava	6–7 (1–7) , 7–6 (8–6) , 6–4
Winner	August 23, 2004	Spain F18, Vigo	Clay	Martin Vilarrubi	David Marrero & Carlos Rexach Itoiz	2–6, 6–3, 6–3
Winner	December 6, 2004	Spain F32, Gran Canaria	Clay (i)	David De Miguel	Dušan Karol & Roberto Menendez	4–6, 7–5, 7–5
Winner	November 27, 2005	Spain F33, Gran Canaria	Clay	David De Miguel	Pablo Andújar & Dušan Karol	4–6, 6–4, 6–4
Winner	April 3, 2006	Portugal F2, Faro	Hard	Marcel Granollers	Sebastian Fitz & Franko Škugor	6–1, 6–1
Winner	July 9, 2007	Spain F24, Málaga	Clay	Gonçalo Nicau	Carlos Gonzalez & Sergio Pérez-Pérez	6–4, 6–0
Runner-up	February 25, 2008	Italy F1, Bari	Clay	Ignacio Coll-Riudavets	Alberto Brizzi & Matteo Volante	6–4, 6–2
Runner-up	April 7, 2008	Spain F12, Zaragoza	Clay	Andoni Vivanco	Guillermo Olaso Albert Ramos-Viñolas	6–3, 6–4
Runner-up	April 12, 2009	Athens	Hard	Jesse Huta Galung	Rameez Junaid Philipp Marx	6–4, 6–3
Winner	July 25, 2010	Póznan	Clay	Daniel Muñoz-de la Nava	James Cerretani Adil Shamasdin	6–2, 6–3
Runner-up	October 30, 2010	São Paulo	Clay	Daniel Muñoz-de la Nava	Franco Ferreiro André Sá	3–6, 7–6 (7–2) , [10–8]
