Constituency	Winner	Party	Margin	Runner-up a	Party a
1. Chennai North	N. V. N. Somu	Dravida Munnetra Kazhagam	389617	D. Pandian	INC
2. Chennai Central	Murasoli Maran	Dravida Munnetra Kazhagam	280467	G. K. J. Bharathi	INC
3. Chennai South	T.R. Baalu	Dravida Munnetra Kazhagam	339181	H. Ganesham	ADMK
4. Sriperumbudur	T. Nagaratnam	Dravida Munnetra Kazhagam	245711	Lata Priyakumar	INC
5. Chengalpattu	K. Parasuraman	Dravida Munnetra Kazhagam	235657	S. M. Krishnan	INC
6. Arakkonam	A. M. Velu	Tamil Maanila Congress	264845	R. Raviram	INC
7. Vellore	P. Shanmugam	Dravida Munnetra Kazhagam	211035	B. Akbar Pasha	INC
8. Tiruppattur	D. Venugopal	Dravida Munnetra Kazhagam	240264	R. Anbarasu	INC
9. Vandavasi	L. Balaraman	Tamil Maanila Congress	173304	M. Krishnaswamy	INC
10. Tindivanam	G. Venkatraman	Dravida Munnetra Kazhagam	190276	K. Ramamurthy	INC
11. Cuddalore	P. R. S. Venkatesan	Tamil Maanila Congress	205204	V. Sathyamurthy	INC
12. Chidambaram	V. Ganesan	Dravida Munnetra Kazhagam	176266	R. Elumalai	PMK
13. Dharmapuri	P. Theertharaman	Tamil Maanila Congress	131246	M. P. Subramanyam	INC
14. Krishnagiri	C. Narasimhan	Tamil Maanila Congress	194676	E. V. K. S. Elangovan	INC
15. Rasipuram	K. Kandasamy	Tamil Maanila Congress	193178	K. Jayakumar	INC
16. Salem	R. Devadass	Tamil Maanila Congress	120885	K. V. Thankabalu	INC
17. Tiruchengode	K. P. Ramalingam	Dravida Munnetra Kazhagam	194188	A. V. Kumarasamy	ADMK
18. Nilgiris	S.R. Balasubramoniyan	Tamil Maanila Congress	281376	R. Prabhu	INC
19. Gobichettipalayam	V. P. Shanmugasundaram	Dravida Munnetra Kazhagam	142968	P. G. Narayanan	ADMK
20. Coimbatore	M. Ramanathan	Dravida Munnetra Kazhagam	262787	C. K. Kuppuswamy	INC
21. Pollachi	V. Kandasamy	Tamil Maanila Congress	138891	R. Anna Nambi	ADMK
22. Palani	Salarapatty Kuppusamy Kaarvendhan	Tamil Maanila Congress	192633	P. Kumarasamy	ADMK
23. Dindigul	N. S. V. Chitthan	Tamil Maanila Congress	267914	C. Srinivasan	ADMK
24. Madurai	A. G. S. Ram Babu c	Tamil Maanila Congress	189806	Subramanian Swamy	JP
25. Periyakulam	R. Gnanagurusamy	Dravida Munnetra Kazhagam	131337	R. Ramasamy	ADMK
26. Karur	K. Natrayan	Tamil Maanila Congress	168274	M. Thambi Durai	ADMK
27. Tiruchirappalli	L. Adaikalaraj c	Tamil Maanila Congress	264708	K. Gopal	INC
28. Perambalur	A. Raja	Dravida Munnetra Kazhagam	214247	P. V. Subramanian	INC
29. Mayiladuturai	P. V. Rajendran	Tamil Maanila Congress	153544	Mani Shankar Iyer	INC
30. Nagapattinam	M. Selvarasu	Communist Party of India	221346	M. Kannivannan	INC
31. Thanjavur	S. S. Palanimanickam	Dravida Munnetra Kazhagam	200428	K. Thulasiah Vandyar	INC
32. Pudukkottai	N. Siva	Dravida Munnetra Kazhagam	177873	V. N. Swaminathan	INC
33. Sivaganga	P. Chidambaram c	Tamil Maanila Congress	247302	M. Gowrishankaran	INC
34. Ramanathapuram	S. P. Udayappan	Tamil Maanila Congress	195304	V. Rajeshwaran	INC
35. Sivakasi	V. Alagirisamy	Communist Party of India	23622	Sanjay Ramasamy	ADMK
36. Tirunelveli	D. S. A. Sivaprakasam	Dravida Munnetra Kazhagam	118280	A. R. Rajaselvam	ADMK
37. Tenkasi	M. Arunachalam c	Tamil Maanila Congress	95926	V. Selvaraj	INC
38. Tiruchendur	R. Dhanuskodi Athithan c	Tamil Maanila Congress	203711	S. Justin	INC
