Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	15-5	Justin Guthrie	Submission (triangle choke)	Crowbar MMA - Winter Brawl	2	1:57	Fargo, North Dakota , United States
Win	14-5	Anthony Smith	TKO (punches)	Crowbar MMA: Fall Brawl	2	1:28	Fargo, North Dakota , United States
Loss	13-5	Ryan Jensen	Submission (guillotine choke)	UFC 114	1	1:06	Las Vegas, Nevada , United States
Loss	13-4	Nick Catone	Decision (split)	UFC Fight Night: Maynard vs. Diaz	3	5:00	Fairfax, Virginia , United States
Win	13-3	James Head	Decision (unanimous)	Pro Battle MMA	3	5:00	Springdale, Arkansas , United States
Win	12-3	Cleburn Walker	Submission (rear naked choke)	5150 Comabt: Rumble at the Rally	1	3:02	Sparks, Oklahoma , United States
Win	11-3	Dave Vitkay	TKO (punches)	Wild Bill's Fight Night 19	1	2:05	Duluth, Georgia , United States
Win	10-3	Shane Dezee	TKO (punches)	Extreme Beatdown	1	1:34	San Carlos, Arizona , United States
Win	9-3	JR Schumacher	TKO (punches)	MTXAFN 2 - Evolution	1	3:13	Las Vegas, Nevada , United States
Loss	8-3	Ryan Jimmo	Decision (unanimous)	XMMA 6 - House of Pain	3	5:00	Montreal , Canada
Win	8-2	Bernard Rutherford	TKO	Wild Bill's - Fight Night 15	1	2:37	Duluth, Georgia , United States
Win	7-2	Chris Camozzi	Submission (armbar)	MFC 15- Rags to Riches	3	1:45	Edmonton , Canada
Win	6-2	Victor Moreno	TKO (punches)	MTXAFN - Let's Get it On	1	1:38	Las Vegas, Nevada , United States
Loss	5-2	Bryan Baker	TKO (punches)	WEC 30	1	4:15	Las Vegas, Nevada , United States
Win	5-1	Jesse Taylor	Submission( armbar )	Tuff-N-Uff 2	1	1:21	Las Vegas, Nevada , United States
Win	4-1	Tim Peacock	Submission ( triangle choke )	WFC: Desert Storm	1	0:50	Camp Verde, Arizona , United States
Win	3-1	Michael Gonzalez	Submission ( rear naked choke )	Cage Fighting Federation	1	N/A	Silver City, New Mexico , United States
Loss	2-1	Matt Hamill	TKO (strikes)	The Ultimate Fighter 3 Finale	1	4:47	Las Vegas, Nevada , United States
Win	2-0	Scott Svobada	Submission ( rear naked choke )	USA MMA: Pacific Northwest Invitational 1	1	N/A	Tacoma, Washington , United States
Win	1-0	Arturo Segovia	Submission ( armbar )	RITC 72: Welcome to the Fort	2	2:14	Glendale, Arizona , United States
