Race Name	Circuit	City/Location	Date	Pole position	Winning driver	Winning team	Report
Checker Autoworks 200	Phoenix International Raceway	Phoenix, Arizona	April 9	Rick Mears	Rick Mears	Team Penske	Report
Long Beach Grand Prix	Streets of Long Beach	Long Beach, California	April 16	Al Unser, Jr.	Al Unser, Jr.	Galles Racing	Report
73rd Indianapolis 500	Indianapolis Motor Speedway	Speedway, Indiana	May 28	Rick Mears	Emerson Fittipaldi	Patrick Racing	Report
Dana-Rex Mays 200	Milwaukee Mile	West Allis, Wisconsin	June 4	Rick Mears	Rick Mears	Team Penske	Report
Valvoline Detroit Grand Prix	Streets of Detroit	Detroit, Michigan	June 18	Michael Andretti	Emerson Fittipaldi	Patrick Racing	Report
Budweiser/G. I. Joe's 200	Portland International Raceway	Portland, Oregon	June 25	Teo Fabi	Emerson Fittipaldi	Patrick Racing	Report
Cleveland Grand Prix	Cleveland Burke Lakefront Airport	Cleveland, Ohio	July 2	Michael Andretti	Emerson Fittipaldi	Patrick Racing	Report
Meadowlands Grand Prix	Meadowlands Sports Complex	East Rutherford, New Jersey	July 16	Emerson Fittipaldi	Bobby Rahal	Kraco Racing	Report
Molson Indy Toronto	Exhibition Place	Toronto, Ontario	July 23	Emerson Fittipaldi	Michael Andretti	Newman/Haas Racing	Report
Marlboro 500	Michigan International Speedway	Brooklyn, Michigan	August 6	Emerson Fittipaldi	Michael Andretti	Newman/Haas Racing	Report
Pocono 500	Pocono Raceway	Long Pond, Pennsylvania	August 20	Emerson Fittipaldi	Danny Sullivan	Team Penske	Report
Red Roof Inns 200	Mid-Ohio Sports Car Course	Lexington, Ohio	September 3	Teo Fabi	Teo Fabi	Porsche North America	Report
Race for Life 200	Road America	Elkhart Lake, Wisconsin	September 10	Danny Sullivan	Danny Sullivan	Team Penske	Report
Bosch Spark Plug Grand Prix	Nazareth Speedway	Nazareth, Pennsylvania	September 24	Rick Mears	Emerson Fittipaldi	Patrick Racing	Report
Marlboro Challenge	Mazda Raceway Laguna Seca	Monterey, California	October 14	Emerson Fittipaldi	Al Unser, Jr.	Galles Racing	Report
Champion Spark Plug 300	Mazda Raceway Laguna Seca	Monterey, California	October 15	Rick Mears	Rick Mears	Team Penske	Report
