Round	Pick #	Overall	Name	Position	College
1	7	7	Joe Profit	Running Back	NE Louisiana
2	7	33	Ken Burrow	Wide Receiver	San Diego State
3	7	59	Leo Hart	Quarterback	Duke
4	7	85	Mike Potchad	Offensive Tackle	Pittsburg State
5	7	111	Ray Jarvis	Wide Receiver	Norfolk State
6	7	137	Tom Hayes	Cornerback	San Diego State
6	18	148	Ray Brown	Defensive Back	West Texas A&M
7	7	163	Wesley Chesson	Wide Receiver	Duke
8	7	189	Dennis Havig	Guard	Colorado
9	7	215	Alvin Griffin	Wide Receiver	Tuskegee
10	7	241	Faddie Tillman	Defensive Tackle	Boise State
11	7	267	Larry Shears	Defensive Back	Lincoln (MO)
12	7	293	Ronnie Lowe	Wide Receiver	Fort Valley State
13	7	319	Dan Crooks	Defensive Back	Wisconsin
14	7	345	Daryl Comer	Tight End	Texas
15	7	371	Wallace Clark	Running Back	Auburn
16	7	397	Lindsey James	Running Back	San Diego State
17	7	423	Willie Martin	Running Back	Johnson C. Smith
