Week #	Theme	Song choice	Original artist	Order #	Result
Audition	N/A	" I'm Every Woman "	Chaka Khan	N/A	Advanced
Hollywood	N/A	" When I Need You "	Leo Sayer	N/A	Advanced
Top 50	N/A	" Alone "	i-TEN	N/A	Advanced
Top 24 (12 Women)	1960s	" The Shadow of Your Smile "	Tony Bennett	12	Safe
Top 20 (10 Women)	1970s	" Crazy on You "	Heart	1	Safe
Top 16 (8 Women)	1980s	" I Drove All Night "	Cyndi Lauper	4	Safe
Top 12	Lennon–McCartney	" Come Together "	The Beatles	5	Safe
Top 11	The Beatles	" Blackbird "	The Beatles	7	Bottom 3
Top 10	Year They Were Born	" Total Eclipse of the Heart "	Bonnie Tyler	7	Safe
Top 9	Dolly Parton	" Here You Come Again "	Dolly Parton	5	Safe
Top 8	Inspirational Music	" The Show Must Go On "	Queen	6	Bottom 3
Top 7	Mariah Carey	" Without You "	Badfinger	2	Safe
Top 6	Andrew Lloyd Webber	" Superstar "	Jesus Christ Superstar	5	Eliminated
