Name (Irish)	Name (English)	Sport	Teams	Location	Pitch
Cumann Lúthchleas Gael Séan Mistéil	John Mitchel's	Football	Men / Ladies	Liverpool	Greenbank
Cumann Peile Uilf Tóin Learpholl	Wolfe Tone's	Football	Men / Ladies	Liverpool	Wavertree Park
Ellan Vannin Gaels	Isle of Man Gaels	Football	Men	Isle of Man	GAA Grounds, Douglas
Fullen Gaels Hurling	Fullen Gaels	Hurling / Camogie	Men / Ladies	Manchester	Hough Grounds
Naomh Ánna	St Ann's	Football	Men	Manchester	Turn Moss
Naomh Bréanainn	St Brendan's	Football	Men	Manchester	Hough Grounds
Naomh Lábhrais na Piarsaigh	St Lawrence's	Football	Men	Manchester	Turn Moss
Naomh Pádraig	St Patrick's	Football	Men	Chester	Blacon Avenue
Naomh Peadar	St Peter's	Football	Men	Manchester	Hough Grouds
Cumann Lúthchleas Gael Oisín	Oisín's	Football	Men / Ladies	Manchester	Old Bedians
