Year	Network	Play-by-play	Colour commentator(s)	Studio host
1989	CBC	Bob Cole	Harry Neale and Dick Irvin, Jr.	Ron MacLean
1988	CBC	Bob Cole	Harry Neale	Ron MacLean
1987	CBC	Don Wittman	John Davidson	Brian Williams
1986	TSN	John Wells	Howie Meeker	Jim Van Horne
1985	CBC	Dick Irvin, Jr.	Howie Meeker and John Davidson	Dave Hodge
1984	CBC	Danny Gallivan	Dick Irvin, Jr.	Dave Hodge
1983	CBC	Jim Robson	Mickey Redmond	Dave Hodge
1982	CBC	Danny Gallivan	Dick Irvin, Jr.	Dave Hodge
1981	CBC	Jim Robson	Howie Meeker and Mickey Redmond	Dave Hodge
1980	CBC	Dan Kelly	Gary Dornhoefer and Dick Irvin, Jr.	Dave Hodge
