BR No.	Lot No.	Date	Built at	Boiler type
44658–67	199	1949	Crewe	Forward topfeed
44668/9	199	1949	Horwich	Forward topfeed
44670–7	199	1950	Horwich	Forward topfeed
44678–85	199	1950	Horwich	Forward topfeed
44686/7	199	1951	Horwich	Forward topfeed
44688–97	199	1950	Horwich	Forward topfeed
44698–717	192	1948	Horwich	Forward topfeed
44718–27	192	1948	Crewe	Forward topfeed
44728–37	192	1948	Crewe	Forward topfeed
44738–47	187	1948	Crewe	Forward topfeed
44748–53	187	1948	Crewe	Forward topfeed
44754–5	187	1948	Crewe	Forward topfeed
44756–7	187	1948	Crewe	Forward topfeed
44758–66	187	1947	Crewe	Forward topfeed
44767	187	1948	Crewe	Forward topfeed
44768–82	187	1947	Crewe	Forward topfeed
44783–99	187	1947	Horwich	Forward topfeed
44800–6	153	1944	Derby	Domed
44807–25	170	1944	Derby	Domed
44826–60	170	1945	Derby	Domed
44861–71	170	1945	Crewe	Domed
44872–920	174	1945	Crewe	Domed
44921–31	174	1945	Crewe	Domed
44932–43	174	1945	Horwich	Domed
44944–66	174	1946	Horwich	Domed
44967–81	174	1946	Crewe	Domed
44982–90	183	1946	Horwich	Domed
44991–6	183	1947	Horwich	Domed
44997–9	187	1947	Horwich	Forward topfeed
45000–19	114	1935	Crewe	Domeless
45020–65	119	1934	Vulcan Foundry	Domeless
45066–9	119	1935	Vulcan Foundry	Domeless
45070–4	122	1935	Crewe	Domeless
45075–5124	123	1935	Vulcan Foundry	Domeless
45125–5224	124	1935	Armstrong Whitworth	Domeless
45225–98	131	1936	Armstrong Whitworth	Domed
45299–5451	131	1937	Armstrong Whitworth	Domed
45452–71	142	1938	Crewe	Domed
45472–81	151	1943	Derby	Domed
45482–91	152	1944	Derby	Domed
45492–9	153	1944	Derby	Domed
