Date	Opponent	Score	Loss	Attendance	Record
May 1	@ Royals	8 - 0	Williams (0-2)	12,046	11-13
May 2	Twins	3 - 2 (10)	Crabtree (1-2)	30,226	11-14
May 3	Twins	6 - 5	Ritchie (2-3)	29,150	12-14
May 4	Twins	1 - 0	Tewksbury (1-5)	29,114	13-14
May 5	Tigers	3 - 1	Olivares (1-2)	27,169	14-14
May 6	Tigers	2 - 1 (10)	Jones (1-2)	26,294	15-14
May 7	@ Indians	7 - 1	Person (0-2)	42,463	15-15
May 8	@ Indians	4 - 3	Ogea (2-3)	42,567	16-15
May 9	@ Twins	4 - 1	Rodriguez (1-3)	13,277	17-15
May 10	@ Twins	6 - 4	Swindell (2-2)	20,932	18-15
May 11	@ Twins	3 - 2	Aldred (1-5)	32,552	19-15
May 12	@ Twins	12 - 2	Carpenter (0-1)	10,830	19-16
May 13	@ Tigers	4 - 0	Guzmán (3-3)	9,992	19-17
May 14	@ Tigers	7 - 2	Moehler (2-3)	11,788	20-17
May 16	Indians	5 - 2	Hershiser (3-2)	35,195	21-17
May 17	Indians	8 - 1	Williams (1-3)	36,220	21-18
May 18	Indians	8 - 6	Carpenter (0-2)	31,137	21-19
May 20	@ Yankees	2 - 0	Pettitte (6-2)	20,220	22-19
May 21	@ Yankees	4 - 1	Rogers (3-2)	19,863	23-19
May 23	Angels	12 - 2	Guzmán (3-4)	30,209	23-20
May 24	Angels	3 - 1	Williams (1-4)	28,351	23-21
May 25	Angels	4 - 3 (11)	DeLucia (4-2)	28,180	24-21
May 26	Rangers	8 - 1	Santana (2-2)	28,113	25-21
May 27	Rangers	15 - 5	Person (0-3)	28,126	25-22
May 28	Yankees	6 - 4	Guzmán (3-5)	32,338	25-23
May 29	Yankees	4 - 0	Williams (1-5)	43,155	25-24
May 30	@ Athletics	12 - 7	Hentgen (5-2)	11,004	25-25
May 31	@ Athletics	13 - 3	Telgheder (1-3)	15,027	26-25
