Place	Player	Country	Score	To par	Money ($)
T1	Billy Casper	United States	69-68-73-68=278	–2	Playoff
T1	Arnold Palmer	United States	71-66-70-71=278	–2	Playoff
3	Jack Nicklaus	United States	71-71-69-74=285	+5	9,000
T4	Tony Lema	United States	71-74-70-71=286	+6	6,500
T4	Dave Marr	United States	71-74-68-73=286	+6	6,500
6	Phil Rodgers	United States	70-70-73-74=287	+7	5,000
7	Bobby Nichols	United States	74-72-71-72=289	+9	4,000
T8	Wes Ellis	United States	71-75-74-70=290	+10	2,800
T8	Doug Sanders	United States	70-75-74-71=290	+10	2,800
T8	Mason Rudolph	United States	74-72-71-73=290	+10	2,800
T8	Johnny Miller (a)	United States	70-72-74-74=290	+10	0
