Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
South African Grand Prix	Prince George	1 January	Jim Clark	Jim Clark	Jim Clark	Lotus - Climax	D	Report
Monaco Grand Prix	Monaco	30 May	Graham Hill	Graham Hill	Graham Hill	BRM	D	Report
Belgian Grand Prix	Spa-Francorchamps	13 June	Graham Hill	Jim Clark	Jim Clark	Lotus - Climax	D	Report
French Grand Prix	Charade	27 June	Jim Clark	Jim Clark	Jim Clark	Lotus - Climax	D	Report
British Grand Prix	Silverstone	10 July	Jim Clark	Graham Hill	Jim Clark	Lotus - Climax	D	Report
Dutch Grand Prix	Zandvoort	18 July	Graham Hill	Jim Clark	Jim Clark	Lotus - Climax	D	Report
German Grand Prix	Nürburgring	1 August	Jim Clark	Jim Clark	Jim Clark	Lotus - Climax	D	Report
Italian Grand Prix	Monza	12 September	Jim Clark	Jim Clark	Jackie Stewart	BRM	D	Report
United States Grand Prix	Watkins Glen	3 October	Graham Hill	Graham Hill	Graham Hill	BRM	D	Report
Mexican Grand Prix	Hermanos Rodriguez	24 October	Jim Clark	Dan Gurney	Richie Ginther	Honda	G	Report
