Year	Winners	Location	Event Director	Winner's Prize
2013	Kevin Bowerman and Raymond Gao (NC)	Washington, DC	John Chew	US$10,000
2012	Andy Hoang & Erik Salgado (NC)	Orlando, FL	John Chew	US$10,000
2011	Alex Li & Jackson Smylie (ON)	Orlando, FL	John Chew	US$10,000
2010	Evan McCarthy & Bradley Robbins (NH)	Orlando, FL	Ben Greenwood	US$10,000
2009	Andy Hoang & Erik Salgado (NC)	Providence, RI	Ben Greenwood	US$10,000
2008	LoganRosen & MatthewSilver (CT)	Providence, RI	Ben Greenwood	US$5,000
2007	Aune Mitchell & Matthew Silver (CT)	Providence, RI	Ben Greenwood	US$5,000
2006	AaronJacobs & NathanMendelsohn (MA)	Boston, MA	Ben Greenwood	US$5,000
2005	Scott Cardone & Asif Rahman (OH)	Boston, MA	Ben (Loiterstein) Greenwood	US$5,000
2004	Thomas Bao & Eric Johnston (CA)	Boston, MA	Ben Loiterstein & Joe Edley	US$5,000
2003	NickAmphlett & JohnEzekowitz (MA)	Boston, MA	Ben Loiterstein & Joe Edley	US$5,000
