Rank	Airport	Location	IATA	1985–86	1990–91	1995–96	2000–01	2005–06	2007–08	2009–10	2010-11
1	Sydney Airport	Sydney , New South Wales	SYD	9497	12361	19878	25814	28996	32701	34458	36624
2	Melbourne Airport	Melbourne , Victoria	MEL	6476	8346	12972	16881	21041	23943	25918	27607
3	Brisbane Airport	Brisbane , Queensland	BNE	3457	5246	9236	12467	16016	18298	18889	20278
4	Perth Airport	Perth , Western Australia	PER	1939	2508	4145	5162	7005	8952	9992	11328
5	Adelaide Airport	Adelaide , South Australia	ADL	2082	2461	3743	4443	5767	6619	7016	7021
6	Gold Coast Airport	Gold Coast , Queensland	OOL	587	1288	2595	2891	3518	4323	5186	5261
7	Cairns Airport	Cairns , Queensland	CNS	778	1090	1993	1888	3731	3777	3550	3848
8	Canberra International Airport	Canberra , Australian Capital Territory	CBR	1008	1124	1750	2107	2550	2853	3258	3206
9	Hobart International Airport	Hobart , Tasmania	HBA	506	590	850	974	1606	1758	1856	1903
10	Darwin International Airport	Darwin , Northern Territory	DRW	407	496	932	1078	1219	1562	1569	1743
