Driver	Constructor	Laps	Time/Retired	Grid
Alain Prost	Williams - Renault	45	1:18:40.885	1
Michael Schumacher	Benetton - Ford	45	+16.664	3
Mark Blundell	Ligier - Renault	45	+59.349	5
Ayrton Senna	McLaren - Ford	45	+1:08.229	4
Riccardo Patrese	Benetton - Ford	45	+1:31.516	7
Gerhard Berger	Ferrari	45	+1:34.754	9
Jean Alesi	Ferrari	45	+1:35.841	10
Martin Brundle	Ligier - Renault	44	+1 Lap	6
Karl Wendlinger	Sauber	44	+1 Lap	14
Johnny Herbert	Lotus - Ford	44	+1 Lap	13
Christian Fittipaldi	Minardi - Ford	44	+1 Lap	20
Philippe Alliot	Larrousse - Lamborghini	44	+1 Lap	23
Thierry Boutsen	Jordan - Hart	44	+1 Lap	24
Pierluigi Martini	Minardi - Ford	44	+1 Lap	22
Damon Hill	Williams - Renault	43	Tyre	2
Michele Alboreto	Lola - Ferrari	43	+2 Laps	26
Derek Warwick	Footwork - Mugen-Honda	42	+3 Laps	11
Rubens Barrichello	Jordan - Hart	34	Wheel bearing	17
Ukyo Katayama	Tyrrell - Yamaha	28	Halfshaft	21
JJ Lehto	Sauber	22	Spun off	18
Alessandro Zanardi	Lotus - Ford	19	Spun off	15
Aguri Suzuki	Footwork - Mugen-Honda	9	Collision	8
Michael Andretti	McLaren - Ford	4	Collision	12
Luca Badoer	Lola - Ferrari	4	Suspension	25
Andrea de Cesaris	Tyrrell - Yamaha	1	Gearbox	19
Érik Comas	Larrousse - Lamborghini	0	Gearbox	16
