Pick	Round	Player	Position	School
1	1	Lee Roy Selmon	Defensive End	Oklahoma
30	2	Jimmy DuBose	Running Back	Florida
60	2	Dewey Selmon	Linebacker	Oklahoma
61	3	Steve Young	Tackle	Colorado
91	3	Steve Maughan	Linebacker	Utah State
121	4	Richard Appleby	Wide Receiver	Georgia
124	4	Everett Little	Guard	Houston
125	5	Michael Kelson	Defensive Back	West Texas State
154	5	Steve Wilson	Tackle	Georgia
158	6	Curtis Jordan	Defensive Back	Texas Tech
183	7	Parnell Dickinson	Quarterback	Mississippi Valley State
238	9	Bruce Welch	Guard	Texas A&M
267	10	Sid Smith	Linebacker	Brigham Young
292	11	Melvin Washington	Defensive Back	Colorado State
321	12	George Ragsdale	Running Back	North Carolina A&T
348	13	Brad Jenkins	Tight End	Nebraska
377	14	Carl Roaches	Wide Receiver	Texas A&M
404	15	Bob Dzierzak	Defensive Tackle	Utah State
433	16	Tommy West	Linebacker	Tennessee
460	17	Jack Berry	Quarterback	Washington & Lee
