Country	Area (km²) 2010	Population 2011	GDP (PPP) ( Intl. $ ) 2011	GDP (PPP) per capita ( Intl. $ ) 2011	Income inequality 1994–2011 (latest available)	HDI 2011	FSI 2012	CPI 2011	IEF 2011	GPI 2012	WPFI 2011/2012	DI 2011
Algeria	2,381,740	35,980,193	263,552,001,454	8,715	35.3	0.698	78.1	2.9	52.4	2.255	56.00	3.44
Angola	1,246,700	19,618,432	116,345,451,961	5,930	58.6	0.486	85.1	2.0	46.2	2.105	58.43	3.32
Benin	112,620	9,099,922	14,813,078,086	1,628	38.6	0.427	78.6	3.0	56.0	2.231	31.00	6.06
Botswana	581,730	2,030,738	29,958,865,343	14,753	61.0	0.633	66.5	6.1	68.8	1.621	12.00	7.63
Burkina Faso	274,220	16,967,845	22,219,630,703	1,310	39.8	0.331	87.4	3.0	60.6	1.881	23.33	3.59
Burundi	27,830	8,575,172	5,214,123,472	608	33.3	0.316	97.5	1.9	49.6	2.524	57.75	4.01
Cameroon	475,440	20,030,362	47,738,231,020	2,383	38.9	0.482	93.1	2.5	51.8	2.113	35.00	3.41
Cape Verde	4,030	500,585	2,063,740,972	4,123	50.5	0.568	74.7	5.5	64.6	N/A	-6.00	7.92
Central African Republic	622,980	4,486,837	3,660,980,390	816	56.3	0.343	103.8	2.2	49.3	2.872	20.00	1.82
Chad	1,284,000	11,525,496	17,645,370,046	1,531	39.8	0.328	107.6	2.0	45.3	2.671	37.67	1.62
Comoros	1,860	753,943	842,530,721	1,117	64.3	0.433	83.0	2.4	43.8	N/A	13.00	3.52
Côte d'Ivoire	322,460	20,152,894	36,338,307,504	1,803	41.5	0.400	103.6	2.2	55.4	2.419	83.50	3.08
Congo, Democratic Republic of the	2,344,860	67,757,577	25,440,229,129	375	44.4	0.286	111.2	2.0	40.7	3.073	67.67	2.15
Djibouti	23,200	905,564	1,997,160,467 a	2,290 a	40.0	0.430	83.8	3.0	54.5	1.881	83.50	2.68
Egypt	1,001,450	82,536,770	521,964,470,584	6,324	30.8	0.644	90.4	2.9	59.1	2.220	97.50	3.95
Equatorial Guinea	28,050	720,213	26,298,591,108	36,515	N/A	0.537	86.3	1.9	47.5	2.039	86.00	1.77
Eritrea	117,600	5,415,280	3,189,065,543	589	N/A	0.349	94.5	2.5	36.7	2.264	142.00	2.34
Ethiopia	1,104,300	84,734,262	94,603,635,847	1,116	29.8	0.363	97.9	2.7	50.5	2.504	56.60	3.79
Gabon	267,670	1,534,262	24,487,009,222	15,960	41.5	0.674	74.6	3.0	56.7	1.972	36.50	3.48
Gambia, The	11,300	1,776,103	3,792,511,029	2,135	47.3	0.420	80.6	3.5	57.4	1.961	65.50	3.38
Ghana	238,540	24,965,816	75,660,464,231	3,100	42.8	0.541	67.5	3.9	59.4	1.807	11.00	6.02
