Number	District	Size km²	Population	Density hab/km	Councilman	Party
1	Ciutat Vella	4.49	111,290	24,786	Carles Martí i Jufresa	CiU
2	Eixample	7.46	262,485	35,586	Assumpta Escarp i Gibert	C iU
3	Sants-Montjuïc	21.35	177,636	8,321	Immaculada Moraleda i Pérez	CiU
4	Les Corts	6.08	82,588	13,584	Montserrat Ballarín i Espuña	CiU
5	Sarrià-Sant Gervasi	20.09	140,461	6,992	Katty Carreras-Moysi	CiU
6	Gràcia	4.19	120,087	28,660	Ricard Martínez i Monteagudo	CiU
7	Horta-Guinardó	11.96	169,920	14,217	Elsa Blasco i Riera	CiU
8	Nou Barris	8.04	164,981	20,520	Carmen Andrés Añón	C iU
9	Sant Andreu	6.56	142,598	21,737	Sara Jaurrieta	CiU
10	Sant Martí	10.80	221,029	20,466	Francesc Narváez	CiU
