Team	Head Coach	Team Captain	Kitmaker	Shirt sponsor
Hertha BSC	Lucien Favre	Arne Friedrich	Nike	Deutsche Bahn
Arminia Bielefeld	Jörg Berger	Rüdiger Kauf	Saller	Krombacher
VfL Bochum	Marcel Koller	Marcel Maltritz	Do You Football	KiK
SV Werder Bremen	Thomas Schaaf	Frank Baumann	Kappa	Citibank
FC Energie Cottbus	Bojan Prašnikar	Timo Rost	Saller	enviaM
Borussia Dortmund	Jürgen Klopp	Sebastian Kehl	Nike	Evonik
Eintracht Frankfurt	Friedhelm Funkel	Ioannis Amanatidis	Jako	Fraport
Hamburger SV	Martin Jol	David Jarolím	adidas	Emirates
Hannover 96	Dieter Hecking	Robert Enke	Under Armour	TUI
TSG 1899 Hoffenheim	Ralf Rangnick	Selim Teber	Puma	TV Digital
Karlsruher SC	Edmund Becker	Maik Franz	Jako	EnBW
1. FC Köln	Christoph Daum	Milivoje Novakovič	Reebok	REWE
Bayer 04 Leverkusen	Bruno Labbadia	Simon Rolfes	adidas	TelDaFax
Borussia Mönchengladbach	Hans Meyer	Filip Daems	Lotto	Kyocera
FC Bayern Munich	Jupp Heynckes 1	Mark van Bommel	adidas	T-Home
FC Schalke 04	Mike Büskens , Youri Mulder and Oliver Reck 2	Mladen Krstajić	adidas	Gazprom
VfB Stuttgart	Markus Babbel	Thomas Hitzlsperger	Puma	EnBW
VfL Wolfsburg	Felix Magath	Josué	Nike	Ein Herz Für Kinder *
