Player	Nationality	Jersey Number(s)	Position	Years	From
Wardell Jackson Category:Articles with hCards	United States	30	SF	1974–1975	Ohio State
Jerome James Category:Articles with hCards	United States	33, 13	C	2002 – 2005	Florida A&M
Avery Johnson Category:Articles with hCards	United States	15	PG	1989 – 1990	Southern
Clay Johnson Category:Articles with hCards	United States	34	SG	1983–1984	Missouri
Clemon Johnson Category:Articles with hCards	United States	45	Center / PF	1987 – 1988	Florida A&M
* Dennis Johnson Category:Articles with hCards	United States	24	PG	1977 – 1980	Pepperdine
Eddie Johnson Category:Articles with hCards	United States	22, 8	SF	1991 – 1993	Illinois
Edward Johnson Category:Articles with hCards	United States	15	SG	1987	Auburn
Ervin Johnson Category:Articles with hCards	United States	50	C	1994 – 1996	New Orleans
John Johnson Category:Articles with hCards	United States	27	SF	1978 – 1982	Iowa
Steve Johnson Category:Articles with hCards	United States	33	PF / C	1990	Oregon State
Vinnie Johnson Category:Articles with hCards	United States	15	SG	1980 – 1981	Baylor
